SID,name_year,ADM3_PCODE,entry_date,exit_date,hours_difference,is_intersect,is_third_pass
2006329N06150,durian2006,PH175301000,2006-11-30 18:00:00,2006-12-01 06:00:00,12.0,False,False
2006329N06150,durian2006,PH175101000,2006-11-30 00:00:00,2006-12-01 12:00:00,36.0,True,False
2006329N06150,durian2006,PH030801000,2006-11-30 09:00:00,2006-12-01 12:00:00,27.0,True,False
2006329N06150,durian2006,PH021501000,2006-11-30 15:00:00,2006-11-30 18:00:00,3.0,False,False
2006329N06150,durian2006,PH083701000,2006-11-29 09:00:00,2006-11-30 03:00:00,18.0,True,False
2006329N06150,durian2006,PH012801000,2006-11-30 18:00:00,2006-11-30 21:00:00,3.0,False,False
2006329N06150,durian2006,PH045601000,2006-11-29 18:00:00,2006-12-01 03:00:00,33.0,True,False
2006329N06150,durian2006,PH025701000,2006-11-30 15:00:00,2006-11-30 18:00:00,3.0,True,False
2006329N06150,durian2006,PH015501000,2006-11-30 18:00:00,2006-12-01 06:00:00,12.0,True,False
2006329N06150,durian2006,PH041001000,2006-11-30 00:00:00,2006-12-01 09:00:00,33.0,True,False
2006329N06150,durian2006,PH013301000,2006-11-30 18:00:00,2006-11-30 21:00:00,3.0,True,False
2006329N06150,durian2006,PH015502000,2006-11-30 15:00:00,2006-12-01 06:00:00,15.0,True,False
2006329N06150,durian2006,PH142708000,2006-11-30 15:00:00,2006-11-30 18:00:00,3.0,False,False
2006329N06150,durian2006,PH175302000,2006-11-30 12:00:00,2006-12-01 03:00:00,15.0,True,False
2006329N06150,durian2006,PH063001000,2006-11-29 15:00:00,2006-11-30 15:00:00,24.0,True,False
2006329N06150,durian2006,PH150708000,2006-11-30 00:00:00,2006-11-30 03:00:00,3.0,False,False
2006329N06150,durian2006,PH150709000,2006-11-30 00:00:00,2006-11-30 03:00:00,3.0,False,False
2006329N06150,durian2006,PH045602000,2006-11-29 15:00:00,2006-12-01 03:00:00,36.0,True,False
2006329N06150,durian2006,PH128001000,2006-11-29 12:00:00,2006-11-29 15:00:00,3.0,False,False
2006329N06150,durian2006,PH124701000,2006-11-30 00:00:00,2006-11-30 03:00:00,3.0,False,False
2006329N06150,durian2006,PH043401000,2006-11-29 21:00:00,2006-12-01 06:00:00,33.0,True,False
2006329N06150,durian2006,PH083702000,2006-11-29 06:00:00,2006-11-30 06:00:00,24.0,True,False
2006329N06150,durian2006,PH083703000,2006-11-29 09:00:00,2006-11-30 03:00:00,18.0,True,False
2006329N06150,durian2006,PH071201000,2006-11-29 21:00:00,2006-11-30 00:00:00,3.0,False,False
2006329N06150,durian2006,PH015504000,2006-11-30 15:00:00,2006-12-01 03:00:00,12.0,True,False
2006329N06150,durian2006,PH021502000,2006-11-30 15:00:00,2006-11-30 18:00:00,3.0,False,False
2006329N06150,durian2006,PH072201000,2006-11-30 00:00:00,2006-11-30 03:00:00,3.0,True,False
