typhoon,SID,startdate,start_time,enddate,end_time,landfalldate,landfall_time,earliest_entry_date,earliest_entry_time,latest_exit_date,latest_exit_time,imerg_type
aere2011,2011126N11129,05/05/2011,18:00:00,15/05/2011,03:00:00,07/05/2011,21:00:00,06/05/2011,03:00:00,10/05/2011,09:00:00,final
atsani2020,2020304N08148,29/10/2020,12:00:00,07/11/2020,09:00:00,06/11/2020,00:00:00,05/11/2020,09:00:00,06/11/2020,15:00:00,final
bopha2012,2012331N03157,25/11/2012,12:00:00,09/12/2012,03:00:00,03/12/2012,21:00:00,03/12/2012,09:00:00,09/12/2012,03:00:00,final
danas2019,2019195N13136,14/07/2019,00:00:00,23/07/2019,03:00:00,17/07/2019,00:00:00,15/07/2019,18:00:00,17/07/2019,18:00:00,final
durian2006,2006329N06150,24/11/2006,12:00:00,09/12/2006,15:00:00,30/11/2006,06:00:00,29/11/2006,00:00:00,03/12/2006,03:00:00,final
fung-wong2014,2014260N13135,17/09/2014,00:00:00,25/09/2014,21:00:00,19/09/2014,03:00:00,17/09/2014,12:00:00,21/09/2014,09:00:00,final
goni2015,2015226N12151,13/08/2015,18:00:00,30/08/2015,03:00:00,22/08/2015,00:00:00,19/08/2015,21:00:00,23/08/2015,06:00:00,final
goni2020,2020302N17140,28/10/2020,00:00:00,06/11/2020,03:00:00,31/10/2020,21:00:00,31/10/2020,09:00:00,02/11/2020,06:00:00,final
hagupit2014,2014334N02156,30/11/2014,06:00:00,12/12/2014,09:00:00,06/12/2014,18:00:00,05/12/2014,09:00:00,10/12/2014,15:00:00,final
haikui2017,2017312N10134,07/11/2017,12:00:00,14/11/2017,09:00:00,08/11/2017,21:00:00,08/11/2017,06:00:00,10/11/2017,09:00:00,final
haima2016,2016288N07145,14/10/2016,06:00:00,26/10/2016,03:00:00,19/10/2016,18:00:00,18/10/2016,18:00:00,20/10/2016,12:00:00,final
haiyan2013,2013306N07162,02/11/2013,06:00:00,11/11/2013,09:00:00,08/11/2013,00:00:00,07/11/2013,12:00:00,09/11/2013,09:00:00,final
jangmi2014,2014362N07130,27/12/2014,12:00:00,01/01/2015,09:00:00,29/12/2014,00:00:00,27/12/2014,18:00:00,01/01/2015,09:00:00,final
kai-tak2012,2012225N16133,11/08/2012,12:00:00,18/08/2012,09:00:00,15/08/2012,03:00:00,13/08/2012,09:00:00,15/08/2012,21:00:00,final
kai-tak2017,2017347N11129,13/12/2017,00:00:00,23/12/2017,15:00:00,16/12/2017,12:00:00,13/12/2017,06:00:00,19/12/2017,12:00:00,final
kalmaegi2014,2014254N10142,10/09/2014,12:00:00,17/09/2014,15:00:00,14/09/2014,12:00:00,12/09/2014,12:00:00,15/09/2014,00:00:00,final
