typhoon,mun_code,pre_max_6h,pre_max_24h,during_total_rainfall,during_max_rainfall,during_mean_rainfall,during_max_1h_intensity,during_max_3h_intensity,during_max_6h_intensity,post_max_6h,post_max_24h
durian2006,PH175301000,0.6066666666666667,1.106666666666666,4.199999999999999,1.6800000000000002,0.16799999999999998,2.2133333333333334,3.5133333333333336,3.9933333333333336,0.6533333333333331,1.166666666666666
durian2006,PH175101000,2.671428571428571,3.121428571428571,342.4214285714286,42.98571428571428,4.690704500978474,74.19285714285715,144.4142857142857,189.5142857142857,1.7214285714285713,1.814285714285714
durian2006,PH030801000,4.3,5.675,61.17500000000002,5.175,1.1122727272727275,9.75,23.525,37.8,0.55,0.725
durian2006,PH021501000,7.7,8.4,0.0,0.0,0.0,0.0,0.0,,136.5,140.55
durian2006,PH083701000,10.475000000000001,19.65,12.1875,2.5625,0.3293918918918919,3.625,4.9,7.2625,0.6375,0.7125
durian2006,PH012801000,6.85,8.666666666666668,0.0,0.0,0.0,0.0,0.0,,84.35,109.46666666666667
durian2006,PH045601000,7.9,9.1,314.4,23.833333333333336,4.692537313432836,40.53333333333334,97.16666666666667,152.3,6.066666666666666,6.066666666666666
durian2006,PH025701000,3.39,6.34,18.76,3.3600000000000003,2.68,6.66,17.42,,8.74,21.22
durian2006,PH015501000,1.4666666666666668,1.5,12.25,2.316666666666667,0.49,4.466666666666667,8.716666666666667,9.866666666666667,8.483333333333333,9.033333333333333
durian2006,PH041001000,2.45,3.25,269.49999999999994,62.1,4.022388059701492,66.5,82.2,113.4,2.85,4.85
durian2006,PH013301000,1.9249999999999998,2.6,0.7,0.3,0.09999999999999999,0.35,0.65,,24.45,31.775
durian2006,PH015502000,0.94,1.6400000000000001,28.86,4.86,0.9309677419354838,9.440000000000001,21.439999999999998,24.9,2.86,3.76
durian2006,PH142708000,2.6099999999999994,4.7299999999999995,5.809999999999999,1.7899999999999998,0.8299999999999998,2.51,5.289999999999999,,29.189999999999998,32.19
durian2006,PH175302000,1.5,1.725,17.937500000000004,1.45,0.5786290322580646,2.65,6.9125000000000005,12.762500000000001,0.175,0.175
durian2006,PH063001000,1.575,2.4000000000000004,24.887500000000003,2.3375,0.5079081632653062,4.424999999999999,10.1375,13.75,2.5125,2.5125
durian2006,PH150708000,6.533333333333333,7.466666666666667,0.0,0.0,0.0,0.0,0.0,,0.5333333333333332,0.833333333333333
durian2006,PH150709000,8.425,10.625,0.0,0.0,0.0,0.0,0.0,,1.0499999999999998,1.9
durian2006,PH045602000,2.7,3.833333333333333,281.56666666666666,20.366666666666667,3.8570776255707764,39.766666666666666,90.4,140.33333333333334,12.933333333333334,14.233333333333333
