,adm3_pcode,storm_id,value_count,v_max,dis_track_min,vmax_gust,vmax_gust_mph,vmax_sust_mph,vmax_sust
0,PH012801000,2020304N08148,268,4.649811176035154,265.5987537785319,20.779486110819178,23.912700459264062,12.585631820665295,10.93657163727325
1,PH012802000,2020304N08148,160,3.9317404222373162,299.2859700293477,17.570508221129742,20.219859998854826,10.642031578344646,9.24763590585776
2,PH012803000,2020304N08148,129,3.238345285238449,336.89709779908435,14.471802903193927,16.65391945132862,8.765220763857169,7.616738370102067
3,PH012804000,2020304N08148,503,4.640083306197268,267.0747367837298,20.736013348478625,23.862672699268344,12.55930142066755,10.913691236041382
4,PH012805000,2020304N08148,415,3.5374194537063897,319.4258828525155,15.808331913622153,18.19197567230736,9.574724038056505,8.32017469138008
5,PH012806000,2020304N08148,398,4.488725134480472,274.1658206871329,20.059610606974186,23.084279236544592,12.149620650812945,10.55768979314431
6,PH012807000,2020304N08148,465,4.128037440329063,288.3093505887524,18.447737641123258,21.22936159299853,11.17334820684133,9.709335600591189
7,PH012808000,2020304N08148,68,3.3421424698357947,331.43175976195033,14.935660912482339,17.187719833714834,9.046168333534125,7.86087416446439
8,PH012809000,2020304N08148,360,3.703328341944346,309.9361526052518,16.54976017990752,19.04519946952544,10.023789194487073,8.710400094688168
9,PH012810000,2020304N08148,289,4.6881586058003455,264.7647756695518,20.950856485663266,24.109910747304095,12.689426709107419,11.026766571401721
10,PH012811000,2020304N08148,134,3.387864767015596,327.44335931742876,15.139988744997154,17.42285703722217,9.16992475643272,7.968415128945872
11,PH012812000,2020304N08148,301,3.788780453794921,306.62606012447526,16.93163611080355,19.484656186569314,10.255082203457533,8.91138742673871
12,PH012813000,2020304N08148,207,3.510920734302614,320.21369616159484,15.689912100223454,18.05570004397165,9.503000023142976,8.257848473801818
13,PH012814000,2020304N08148,1360,3.941466067804677,296.85640562716833,17.613971043454075,20.269876320038772,10.668355957915145,9.270511075502148
14,PH012815000,2020304N08148,512,4.95108994598754,254.66859625329516,22.125867238718758,25.462094339544173,13.401102283970618,11.645193283536189
15,PH012816000,2020304N08148,143,3.5574590103288233,319.02862499026753,15.897886450943792,18.295033602340837,9.628965053863599,8.36730865839147
16,PH012817000,2020304N08148,538,4.321145110929072,281.6137800678437,19.31071422387281,22.222461249871415,11.69603223677443,10.163533802038323
17,PH012818000,2020304N08148,228,3.9446387093900452,297.5572425286792,17.628149223870853,20.286192343426244,10.67694333864539,9.277973275721502
18,PH012819000,2020304N08148,197,3.2907872480989107,334.1317095687479,14.706160170108202,16.923614047926705,8.907165288382476,7.7400843000569495
19,PH012820000,2020304N08148,72,3.5950527057061583,316.7024620523139,16.065888471106213,18.488367641655863,9.730719811397824,8.455730774266428
20,PH012821000,2020304N08148,148,3.76685825455959,307.0282861979239,16.833668254199615,19.37191634319146,10.19574544378498,8.859825396947167
21,PH012822000,2020304N08148,290,3.7711795397899674,305.8459685957051,16.852979594601635,19.394139525037133,10.207441855282703,8.86998926031665
22,PH012823000,2020304N08148,1656,4.439192581914846,274.93835482353546,19.838255169279083,22.829546937179582,12.015551019568202,10.44118693119952
23,PH012901000,2020304N08148,122,2.017109573124253,439.0967217936593,9.014237088757628,10.373439950471997,5.459705237090526,4.744335309872437
24,PH012902000,2020304N08148,37,2.234884834006849,413.03004045107497,9.987450373656772,11.493398242060964,6.04915696950577,5.256552828240407
25,PH012903000,2020304N08148,153,2.724027786744492,371.8619693436255,12.173375523693466,14.008925963027236,7.373118927909072,6.407039749312351
26,PH012904000,2020304N08148,41,2.366313054936484,400.684293683371,10.574788394059084,12.169297447427015,6.404893393382639,5.565678102136359
27,PH012905000,2020304N08148,295,3.0454482904384537,349.2927720636665,13.609767807032647,15.661903242171995,8.243106969564208,7.163035687911919
28,PH012906000,2020304N08148,178,2.2529259920793225,411.0908120139226,10.068074291359538,11.586178957791693,6.0979889251535235,5.298986469136599
29,PH012907000,2020304N08148,49,2.6075775982729392,381.426139886194,11.652972655203172,13.410054660532856,7.057923505543609,6.133143502738513
30,PH012908000,2020304N08148,235,2.1463502174596205,425.19067788388116,9.591799074018722,11.038089050866038,5.809520553087389,5.0483153021151175
31,PH012909000,2020304N08148,35,2.198651180559593,416.30750591495274,9.825526228772787,11.307058524462404,5.9510834339275815,5.171329594090941
32,PH012910000,2020304N08148,105,2.2427509031073454,412.67473547047615,10.022602956725722,11.533851272747777,6.070448038288304,5.2750541877503805
33,PH012911000,2020304N08148,39,2.308797366395518,405.88295968592234,10.317757214524113,11.873510074624232,6.2492158287495965,5.43039853396006
34,PH012912000,2020304N08148,163,2.7939253049391612,366.7689810838116,12.485739715167005,14.368389681478765,7.5623103586730345,6.571441955351056
35,PH012913000,2020304N08148,92,2.5707217167314367,383.14717581525383,11.48826784255599,13.220514994920979,6.958165786800516,6.0464567592399945
36,PH012914000,2020304N08148,138,2.5492177549281747,385.1471302346098,11.392169042260301,13.109926031666063,6.8999610692979285,5.995878443294895
37,PH012915000,2020304N08148,208,2.2661298914334203,410.9587493932658,10.127081040848898,11.654082981889731,6.133727885205121,5.330042653078367
38,PH012916000,2020304N08148,67,2.1720256204428905,419.70617656551127,9.706539578413887,11.1701305892137,5.879016099586159,5.108705041270467
39,PH012917000,2020304N08148,196,2.345104231365634,402.1560328751804,10.48000853351578,12.060226298956083,6.347487525766359,5.515793965008306
40,PH012918000,2020304N08148,40,2.346813148219576,402.67364179604846,10.487645491810788,12.069014788486308,6.352113046571742,5.519813416742521
