,adm3_pcode,storm_id,value_count,v_max,dis_track_min,vmax_gust,vmax_gust_mph,vmax_sust_mph,vmax_sust
0,PH012801000,2019195N13136,226,6.958932277370745,282.4582743900252,31.09869006058396,35.787875413677405,18.835723901935477,16.367731610833662
1,PH012802000,2019195N13136,140,6.3713534793589135,309.9144453025322,28.47286612708185,32.76611920441728,17.245325897061726,14.985719014253606
2,PH012803000,2019195N13136,134,6.34262347289978,307.1342346608353,28.344474941379907,32.618368680225934,17.167562463276806,14.918144705989425
3,PH012804000,2019195N13136,366,6.607968829286473,299.99710582631474,29.530273662847375,33.9829668940704,17.88577204951074,15.542249296235463
4,PH012805000,2019195N13136,410,6.43314613155247,303.680866441498,28.749010578844633,33.08390182537694,17.41257990809313,15.131058199391912
5,PH012806000,2019195N13136,286,6.420847885840672,308.99325776930266,28.69405109419441,33.02065532896084,17.379292278400445,15.102132154839163
6,PH012807000,2019195N13136,442,7.044826198492245,276.3174427218701,31.482540387699807,36.22960423433061,19.068212754910846,16.56975809878937
7,PH012808000,2019195N13136,67,6.12429140885039,320.0329474896165,27.36877336540123,31.49554690303761,16.57660363317769,14.404617560737488
8,PH012809000,2019195N13136,353,6.760118163545474,287.3630018050796,30.210212021269314,34.76542908822649,18.29759425696131,15.900111590141744
9,PH012810000,2019195N13136,223,6.823313071754103,289.36542881786886,30.49262299833514,35.0904231263354,18.468643750702846,16.04874894649218
10,PH012811000,2019195N13136,138,6.548832647799917,297.194778270776,29.266000681574496,33.678845771586786,17.72570830083515,15.403158253460262
11,PH012812000,2019195N13136,276,6.400031593237612,307.2723423976053,28.601025410645498,32.913602859334794,17.322948873334102,15.05317126876079
12,PH012813000,2019195N13136,212,6.658276767043328,291.7359735891424,29.755094210243005,34.241686786289506,18.02194041383658,15.660575900127899
13,PH012814000,2019195N13136,1422,7.117449811820412,269.93794935940565,31.80708719343847,36.60308751054112,19.264782900284803,16.74057220707288
14,PH012815000,2019195N13136,376,6.907510696826493,285.76657241408,30.86889276812126,35.52342836278767,18.696541243572458,16.246785667432242
15,PH012816000,2019195N13136,136,6.216531813242297,315.66166064207584,27.78098541646183,31.9699139422484,16.826270495920213,14.621571271822017
16,PH012817000,2019195N13136,425,6.458492439076477,306.03103132174897,28.86228039243839,33.214250916259125,17.48118469276796,15.190673890757047
17,PH012818000,2019195N13136,217,6.722032326469902,291.05724827989826,30.040010674898603,34.569564099466874,18.194507420772037,15.81053193415716
18,PH012819000,2019195N13136,201,6.238890722684592,312.59818086105355,27.880904882139014,32.08489966615156,16.886789297974506,14.674160464283691
19,PH012820000,2019195N13136,69,6.308483347558601,311.42686223210495,28.191906539461794,32.44279540208231,17.075155474780164,14.837845547085156
20,PH012821000,2019195N13136,141,6.505364747671904,301.862049939642,29.07174749735236,33.45530231229288,17.6080538485752,15.30091973544861
21,PH012822000,2019195N13136,288,6.861538029415573,283.1401090040893,30.66344605904498,35.28700357401848,18.572107144220254,16.13865582054999
22,PH012823000,2019195N13136,1459,7.004806447980097,279.2485822221408,31.303696598469912,36.023793660476834,18.959891400250964,16.475629788668375
23,PH012901000,2019195N13136,307,6.279578932441963,299.54034562947425,28.062735940975323,32.29414794211733,16.996919969535437,14.769861021565962
24,PH012902000,2019195N13136,62,6.078498921011014,312.9165193628863,27.164131858678896,31.260048728266305,16.452657225403318,14.29691150456784
25,PH012903000,2019195N13136,190,6.1442749643401084,313.457786678516,27.458077639923932,31.598316834642482,16.630693070864467,14.45161981048628
26,PH012904000,2019195N13136,63,6.205886488839911,307.1194945231313,27.73341265228065,31.91516796567242,16.797456824038118,14.596532974884553
27,PH012905000,2019195N13136,327,6.249276436903697,310.1369110835025,27.927317477445918,32.13831053893215,16.914900283648503,14.698588146024168
28,PH012906000,2019195N13136,307,6.180923387568306,307.37103842875393,27.621855344571095,31.78678959918762,16.729889262730328,14.53781860240584
29,PH012907000,2019195N13136,63,5.940424278069921,324.53276165355254,26.547091721643216,30.54996880186259,16.078930948348734,13.972153537706957
30,PH012908000,2019195N13136,513,6.627570864358277,282.25269176621185,29.617872965291667,34.08377477106117,17.9388288268743,15.588354192258773
31,PH012909000,2019195N13136,62,6.166377458817664,307.64695421714146,27.556851215801142,31.711983886880716,16.690517835200378,14.503605903053232
32,PH012910000,2019195N13136,190,6.376684152430221,296.5668184208372,28.49668830885505,32.79353339040776,17.259754416004085,14.998257004660553
33,PH012911000,2019195N13136,63,6.194095955380439,307.19516124193285,27.68072207690353,31.854532493779622,16.76554341777875,14.56880109310712
34,PH012912000,2019195N13136,190,6.14641433776339,314.4108523460388,27.467638260485053,31.60931904395909,16.63648370734689,14.456651716044764
35,PH012913000,2019195N13136,128,6.338088499122758,301.8020785692803,28.32420865076186,32.595046556936396,17.155287661545472,14.907478237243087
36,PH012914000,2019195N13136,191,6.232906232648629,307.3489007744811,27.854160865473663,32.054123079272294,16.87059109435384,14.66008466603877
37,PH012915000,2019195N13136,390,6.690017762458882,280.3623681707871,29.89694116884219,34.40492199884242,18.107853683601274,15.73523219412747
38,PH012916000,2019195N13136,125,6.254280741215268,302.4892705336576,27.949681153732932,32.16404630012313,16.92844542111744,14.710358501964702
39,PH012917000,2019195N13136,321,6.500344033285173,290.735630407646,29.049310486274752,33.42948215859713,17.59446429399849,15.289110782249871
40,PH012918000,2019195N13136,63,6.103039959617292,312.6694368523357,27.27380301554059,31.386256542505233,16.51908239079223,14.354633166073997
41,PH012919000,2019195N13136,63,6.043185529902285,319.41547196358863,27.006320263263646,31.07844166685786,16.357074561504138,14.213852770138763
42,PH012920000,2019195N13136,195,6.250015146071078,309.5112393155944,27.93061868609771,32.14210951707929,16.91689974583121,14.700325624261954
43,PH012921000,2019195N13136,62,5.944044576755242,324.94601229783666,26.563270431573706,30.568587002636274,16.088730001387514,13.980668648196689
44,PH012922000,2019195N13136,63,6.034763173883495,318.6707606388662,26.96868169617197,31.035127805495787,16.334277792366205,14.194042997985248
45,PH012923000,2019195N13136,63,5.940424278069921,324.53276165355254,26.547091721643216,30.54996880186259,16.078930948348734,13.972153537706957
46,PH012924000,2019195N13136,183,6.133209067705126,308.4977306038259,27.408625385472074,31.54140797070639,16.60074103721389,14.425592308143198
47,PH012925000,2019195N13136,61,6.048635851506862,313.5565968669937,27.03067714095053,31.106471172358777,16.37182693282041,14.226672179447649
