,adm3_pcode,storm_id,value_count,v_max,dis_track_min,vmax_gust,vmax_gust_mph,vmax_sust_mph,vmax_sust
0,PH012801000,2015012N09146,238,4.349791614800408,292.749718203499,19.438732245848822,22.369782343211924,11.773569654322065,10.230911708341486
1,PH012802000,2015012N09146,159,4.087498332844148,310.8222629138231,18.266572903666948,21.020880109025818,11.063621110013589,9.61398573877208
2,PH012803000,2015012N09146,169,4.446178224577591,296.82644616003535,19.869473225064617,22.865472176761486,12.034459040400783,10.457617486876115
3,PH012804000,2015012N09146,385,4.047015555091804,309.42188969654495,18.085659897485588,20.812688313380427,10.954046480726541,9.518768367097678
4,PH012805000,2015012N09146,499,4.413322840873332,296.94227284732204,19.722646189836397,22.696505971629676,11.945529458752462,10.380340099913893
5,PH012806000,2015012N09146,307,3.967462216352282,315.3086132998997,17.73014492390407,20.403567364638022,10.738719665598959,9.331655223107406
6,PH012807000,2015012N09146,496,4.669595443912462,279.8968597868213,20.86789979129034,24.01444550947044,12.639181847089706,10.983105153310706
7,PH012808000,2015012N09146,82,4.1435701453973195,311.7025461478673,18.517151562895556,21.30924202460264,11.215390539264547,9.745869243629242
8,PH012809000,2015012N09146,418,4.697717132455194,282.3922706668927,20.993572472258165,24.159067621868665,12.71529874835193,11.049248669609563
9,PH012810000,2015012N09146,234,4.195939426506731,300.52730521240454,18.75118402319312,21.578562838938193,11.35713833628326,9.869044222733221
10,PH012811000,2015012N09146,169,4.573973921812026,289.4333331463396,20.44057790333453,23.52269031148919,12.380363321836416,10.758198896491859
11,PH012812000,2015012N09146,322,4.21778170607887,305.10722454649743,18.84879472776046,21.69089167746136,11.416258777611242,9.920418277768663
12,PH012813000,2015012N09146,254,4.671470252029256,284.5380139438139,20.87627809908576,24.024087132155373,12.644256385344933,10.987514788992504
13,PH012814000,2015012N09146,1712,5.07817666728223,265.176021509196,22.693803582805817,26.115666405939606,13.745087582073477,11.944107148845166
14,PH012815000,2015012N09146,386,4.194010855153105,299.5865487685994,18.742565453505186,21.568644726707905,11.351918277214686,9.864508133423781
15,PH012816000,2015012N09146,163,4.171602031841296,309.3470064965506,18.642422928327505,21.453402309497147,11.291264373419553,9.811801541225005
16,PH012817000,2015012N09146,468,4.100981570966092,309.1337876260624,18.326827986868565,21.09022069560549,11.100116155581837,9.645698940457141
17,PH012818000,2015012N09146,247,4.478580859058127,290.82224567484377,20.01427697464749,23.032110017114558,12.1221631669024,10.533829986656576
18,PH012819000,2015012N09146,251,4.351440114861037,301.82863862977996,19.44609920825153,22.378260125785136,11.778031645150072,10.23478905697449
19,PH012820000,2015012N09146,82,4.196374687280652,307.17401189177855,18.753129154912212,21.580801265427876,11.358316455488357,9.870067976269585
20,PH012821000,2015012N09146,164,4.3033880952129335,300.3184978875443,19.23136010658203,22.13114180015722,11.647969368503801,10.121768477148438
21,PH012822000,2015012N09146,336,4.719760931559292,280.3382503867789,21.09208374507589,24.272432819938913,12.774964642073114,11.101096707934678
22,PH012823000,2015012N09146,1604,4.508503620595665,286.1802138747118,20.147998449397097,23.185994552738055,12.203155027756873,10.604209710208998
23,PH012901000,2015012N09146,487,5.590266351420064,256.896867626276,24.982275109107523,28.749202857522732,15.131159398696175,13.148565846898697
24,PH012902000,2015012N09146,93,4.9680149517121235,280.1427010994735,22.201503196409277,25.549134990624626,13.446913152960331,11.685001682320674
25,PH012903000,2015012N09146,265,4.641565838429614,291.67640132810567,20.742638619218567,23.87029695493188,12.563314186806254,10.917178220641354
26,PH012904000,2015012N09146,93,5.002896463902336,277.6977715217522,22.357384773239016,25.72852101749593,13.541326851313647,11.76704461749422
27,PH012905000,2015012N09146,430,4.527261581715679,294.8071729655164,20.231825679752067,23.28246158946446,12.253927152349716,10.648329305132668
28,PH012906000,2015012N09146,467,5.092299844781386,274.75978699959745,22.75691848351337,26.188298024791344,13.783314749890183,11.977325517638617
29,PH012907000,2015012N09146,88,4.430626745525504,302.11568324418016,19.799975404458255,22.78549519572025,11.992365892484342,10.421039686556977
30,PH012908000,2015012N09146,782,6.042095040278582,240.48470619588198,27.001446987095676,31.072833578542372,16.354122936074933,14.211287887945092
31,PH012909000,2015012N09146,94,5.134095559134156,273.4134460887429,22.94369885652321,26.403241892393936,13.896443101259967,12.075630977117479
32,PH012910000,2015012N09146,286,5.440499544577946,261.29736428352993,24.312983999249774,27.978993346819593,14.725785972010312,12.796307368026199
33,PH012911000,2015012N09146,93,5.048529416540545,276.1769250500587,22.56131333498975,25.96319874659024,13.664841445573812,11.87437543946829
34,PH012912000,2015012N09146,261,4.536329312237677,295.69916085210036,20.272348353319895,23.329094434457264,12.278470754977509,10.669657028063103
35,PH012913000,2015012N09146,182,4.972503546021861,277.5001432151132,22.22156222237511,25.57221859706549,13.459062419508152,11.695559064407952
36,PH012914000,2015012N09146,272,4.855965649007615,282.75731373317325,21.700767394216847,24.972896233650626,13.143629596658226,11.421456523272026
37,PH012915000,2015012N09146,577,5.868427173195369,245.15834469280165,26.22534471211505,30.17970748637678,15.884056571777254,13.802813006376342
38,PH012916000,2015012N09146,190,5.305351871715607,266.69099869422195,23.709024164143713,27.28396602278976,14.359982117257768,12.478433770601956
39,PH012917000,2015012N09146,471,5.485332578010335,258.65342307870156,24.513337811532665,28.209557311368158,14.847135427035873,12.901756742911928
40,PH012918000,2015012N09146,92,4.882649380913466,283.02481293235064,21.820014007795518,25.110123330417167,13.215854384430088,11.484217898839747
41,PH012919000,2015012N09146,88,4.4849562835771595,298.82157702442953,20.042768033795564,23.06489707255672,12.13941951187196,10.548825280945035
42,PH012920000,2015012N09146,260,4.584523200253766,292.63254692970503,20.487721448859364,23.57694235009644,12.408917026366549,10.78301128887335
43,PH012921000,2015012N09146,87,4.3828336812081545,304.0140109938338,19.586393545200337,22.53970860616123,11.863004529558541,10.308628181684387
44,PH012922000,2015012N09146,89,4.583623527201493,295.05029106653143,20.483700910608192,23.57231557894471,12.406481883655111,10.780895216109574
45,PH012923000,2015012N09146,88,4.430626745525504,302.11568324418016,19.799975404458255,22.78549519572025,11.992365892484342,10.421039686556977
46,PH012924000,2015012N09146,285,5.211326233888517,270.87567715268284,23.288834104521786,26.8004180188539,14.105483167817843,12.257281107643045
47,PH012925000,2015012N09146,94,5.045778605813078,277.4967678920331,22.54902026949937,25.949052083326777,13.657395833329884,11.86790540499967
48,PH012926000,2015012N09146,275,4.955514839982059,279.32063240331684,22.145641595100116,25.484850352777624,13.413079133040855,11.655600839526377
49,PH012927000,2015012N09146,185,4.926230198300573,281.5327447338063,22.01477180661988,25.334247492129126,13.333814469541645,11.586722003484148
50,PH012928000,2015012N09146,88,4.4849562835771595,298.82157702442953,20.042768033795564,23.06489707255672,12.13941951187196,10.548825280945035
51,PH012929000,2015012N09146,385,5.520603622262338,258.87881827666456,24.670960163581274,28.390946594535297,14.942603470808054,12.984715875569092
52,PH012930000,2015012N09146,170,4.41061957803109,299.4177811196717,19.710565610527336,22.682603834067116,11.93821254424585,10.373981900277544
53,PH012931000,2015012N09146,296,5.54763762428357,259.39526442888825,24.79177209513137,28.52997503420198,15.015776333790514,13.048301102700721
54,PH012932000,2015012N09146,482,5.556795275999965,257.8402897875419,24.832696616460176,28.577070319174638,15.04056332588139,13.069840324452725
55,PH012933000,2015012N09146,192,5.175319601905378,273.29479630546496,23.127924493170855,26.61524581022801,14.008024110646323,12.172591838510977
56,PH012934000,2015012N09146,88,4.430626745525504,302.11568324418016,19.799975404458255,22.78549519572025,11.992365892484342,10.421039686556977
57,PH013301000,2015012N09146,101,5.0427438413622765,280.08758969397195,22.53545824657679,25.93344512413444,13.649181644281287,11.860767498198312
58,PH013302000,2015012N09146,200,5.181071462397805,274.41375965900966,23.153628914423432,26.644826047324038,14.023592656486336,12.186120481275493
59,PH013303000,2015012N09146,194,4.999589108093066,281.5094906571898,22.34260457002206,25.71151219589326,13.532374839943822,11.759265563169508
60,PH013304000,2015012N09146,396,5.435036974797039,263.9691093528891,24.2885723858327,27.950900852315318,14.71100044858701,12.783459150438265
61,PH013305000,2015012N09146,194,5.1129108354166135,276.51217451356825,22.84902669552901,26.29429468284255,13.839102464653974,12.025803523962637
62,PH013306000,2015012N09146,96,5.069872128044029,277.9068843398702,22.65669152572996,26.072958443887554,13.72260970730924,11.924574487226296
63,PH013307000,2015012N09146,297,5.046053320654104,279.96831517464955,22.550247939399807,25.950464866224074,13.658139403275829,11.86855154705253
64,PH013308000,2015012N09146,100,5.312339999277654,268.96659322480724,23.740253324666316,27.319904041525575,14.37889686396083,12.49487017087701
65,PH013309000,2015012N09146,100,5.047569998807008,279.96354798956895,22.55702580443985,25.958264724968966,13.662244592088932,11.872118844442028
66,PH013310000,2015012N09146,96,4.96340114592248,282.66170069420866,22.180884614343398,25.525407455968253,13.434424976825396,11.674149797022842
67,PH013311000,2015012N09146,398,5.179469341178504,274.41845578243647,23.14646921387562,26.636586778380384,14.019256199147572,12.182352217829273
68,PH013312000,2015012N09146,101,5.313324023151034,268.9931402009145,23.744650817303217,27.32496460575884,14.381560318820442,12.497184640685905
69,PH013313000,2015012N09146,306,5.306360417403679,269.22936657055897,23.71353124202796,27.28915269597396,14.362711945249455,12.480805916856822
70,PH013314000,2015012N09146,295,5.03518404560501,280.26642423066914,22.501674364825128,25.89456717304507,13.628719564760562,11.8429865078027
71,PH013315000,2015012N09146,394,5.421245901834078,264.41862399841335,24.226941623154833,27.879977155784413,14.673672187254954,12.751021906923597
72,PH013316000,2015012N09146,98,5.013987289692496,281.00302418365345,22.406948433297284,25.785558085223077,13.571346360643727,11.793130754366992
73,PH013317000,2015012N09146,202,5.1693842172818,274.77176626556695,23.1013999231015,26.584721758983594,13.991958820517683,12.158631538474475
74,PH013318000,2015012N09146,393,5.404539514717979,264.9224759030786,24.15228264757532,27.79406080010039,14.628453052684417,12.71172770925017
75,PH013319000,2015012N09146,292,5.362597444420437,266.1465046696823,23.96484822621675,27.57836426411294,14.514928560059442,12.613078013798289
76,PH013320000,2015012N09146,202,5.179921122192227,274.4209245648521,23.148488172698755,26.638910163921285,14.020479033642784,12.183414827736188
77,PH015501000,2015012N09146,574,3.7852567034104783,342.3983515377741,16.915888864431718,19.466534507162056,10.245544477453713,8.903099402332483
78,PH015502000,2015012N09146,515,4.6608203321538735,296.33865046005,20.82868479824971,23.969317522325248,12.615430274908025,10.962465683289322
79,PH015503000,2015012N09146,689,4.1933302038981175,319.8077186937332,18.739523699170682,21.56514432444176,11.350075960232505,9.862907210089833
80,PH015504000,2015012N09146,106,5.265145026398182,270.0617188115496,23.52934426915372,27.077193271792293,14.251154353574892,12.38386540481775
81,PH015505000,2015012N09146,195,4.10748036276494,324.469184364707,18.355870360592743,21.123642195049147,11.11770641844692,9.66098440031197
82,PH015506000,2015012N09146,210,5.809608800875565,249.830359205493,25.962491984464606,29.877220769059313,15.72485303634701,13.664469465507688
83,PH015507000,2015012N09146,212,5.754356818861646,251.67096741449134,25.71557705622607,29.593075016541665,15.575302640285088,13.534514240118986
