,adm3_pcode,storm_id,value_count,v_max,dis_track_min,vmax_gust,vmax_gust_mph,vmax_sust_mph,vmax_sust
0,PH012801000,2015273N12130,225,10.24344640775839,265.1747701857219,45.776816369226,52.67922854194605,27.725909758918974,24.093061246961053
1,PH012802000,2015273N12130,153,11.726426256296408,238.30813879899407,52.40408745587614,60.30578617249752,31.73988745920922,27.581098660987443
2,PH012803000,2015273N12130,159,13.781933474988202,197.95230497896478,61.58991932828243,70.87669465707471,37.30352350372353,32.41574701488549
3,PH012804000,2015273N12130,376,10.486691359109766,264.79006399478203,46.86385085229994,53.930170448979254,28.384300236304874,24.665184659105233
4,PH012805000,2015273N12130,470,13.154510312115534,206.8675338686272,58.786035384411,67.65002983414497,35.605278860076304,30.940018623374215
5,PH012806000,2015273N12130,301,10.817308434912709,257.67412006752375,48.341341587849534,55.63044316997497,29.2791806157763,25.442811362026074
6,PH012807000,2015273N12130,458,11.385110894327124,237.1693536504605,50.878787275945484,58.550495107135106,30.8160500563869,26.77830909260289
7,PH012808000,2015273N12130,79,13.240636958260366,208.4767923889775,59.17092573362816,68.09295549560775,35.83839762926724,31.142592491383244
8,PH012809000,2015273N12130,390,12.313056908385569,219.62394634935023,55.02567423129047,63.32266632796059,33.32771911997926,28.960881174363408
9,PH012810000,2015273N12130,225,10.203210077669727,268.3935353485031,45.59700471009092,52.47230415887665,27.61700218888245,23.998423531626802
10,PH012811000,2015273N12130,156,12.981810096459746,208.65524612673374,58.014257435437415,66.76188010722456,35.137831635381346,30.5338197028618
11,PH012812000,2015273N12130,309,12.331576565626081,226.02704864882134,55.10843650825986,63.41790783335398,33.37784622808105,29.004440267505185
12,PH012813000,2015273N12130,235,12.643243535308722,212.5429773760196,56.50124133893769,65.02072536871516,34.22143440458693,29.73749544154615
13,PH012814000,2015273N12130,1561,13.990028607302003,191.10800047479376,62.519873201233196,71.9468707088889,37.866774057309954,32.90519642170169
14,PH012815000,2015273N12130,371,9.8937846116681,275.5283038552053,44.21421690867376,50.8810140606679,26.779481084562054,23.270640478249348
15,PH012816000,2015273N12130,156,12.811910195115118,215.5020621771052,57.25499377793323,65.888131626888,34.677964014151584,30.13420725154381
16,PH012817000,2015273N12130,456,11.360303610336466,245.358044204034,50.76792629823789,58.42291806608582,30.748904245308328,26.71996120959889
17,PH012818000,2015273N12130,232,11.690169208893925,233.30776248423464,52.24205876602262,60.119326146219166,31.641750603273245,27.495820403169805
18,PH012819000,2015273N12130,237,13.60193437565817,199.83128990505296,60.78552348447579,69.95100877817272,36.8163204095646,31.992380781303044
19,PH012820000,2015273N12130,78,12.400162971642809,222.582377200831,55.41494148604496,63.770628862351536,33.563488874921866,29.16575867686577
20,PH012821000,2015273N12130,154,12.236063223887614,224.41783676798437,54.681598066242785,62.92670897723122,33.11932051433222,28.779788455917256
21,PH012822000,2015273N12130,309,11.993922874872666,224.85083337942112,53.59949992747162,61.68144773631491,32.46391986121837,28.210263119721905
22,PH012823000,2015273N12130,1523,11.78190408582829,234.9124346162139,52.65201167141366,60.59109339670553,31.89004915616081,27.711585090217717
23,PH012901000,2015273N12130,410,22.92684655769664,90.57638866242344,102.45751312782726,117.90646833904124,62.05603596791644,53.925006909382766
24,PH012902000,2015273N12130,82,19.001066698064403,124.79681377057918,84.9136419943503,97.71726187486726,51.430137828877506,44.691390523342264
25,PH012903000,2015273N12130,241,16.228633819556993,159.50646111622999,72.52394952919381,83.45940183339927,43.92600096494698,38.17049975220727
26,PH012904000,2015273N12130,82,17.832306886563735,137.11837866181764,79.69058511085112,91.70665150314188,48.26665868586416,41.94241321623744
27,PH012905000,2015273N12130,399,14.861628465092886,180.402719742207,66.41495548597257,76.42926913984252,40.22593112623291,34.955239729459244
28,PH012906000,2015273N12130,408,19.70128771156124,117.76839197802401,88.04285139094951,101.31830602851603,53.32542422553476,46.33834283734185
29,PH012907000,2015273N12130,81,16.43596323508088,157.62146451270408,73.45048149944824,84.52564001428912,44.48717895488901,38.65814815760434
30,PH012908000,2015273N12130,654,21.63834159932842,101.9607920172446,96.69932857527424,111.28004159970673,58.56844294721408,50.89438346067065
31,PH012909000,2015273N12130,81,19.34501748219093,121.60933920868051,86.45071958115605,99.4861061918014,52.361108522000734,45.50037872692424
32,PH012910000,2015273N12130,245,19.53411442101695,120.46003751884322,87.2957726521679,100.45857975787126,52.87293671466909,45.945143501141004
33,PH012911000,2015273N12130,82,18.322029434607934,131.9177975312191,81.87910040749088,94.22515992341584,49.59218943337677,43.09426337236362
34,PH012912000,2015273N12130,240,15.727449636922978,168.10566318075465,70.2842134694414,80.88194937769171,42.569447040890374,36.991691299706
35,PH012913000,2015273N12130,161,16.920004408987037,147.59591352595575,75.61360737046996,87.01493068940812,45.79733194179375,39.79663545814209
36,PH012914000,2015273N12130,243,17.156512111184693,145.62603675761355,76.67053384056987,88.23122477638303,46.437486724412125,40.35291254766836
37,PH012915000,2015273N12130,488,19.888203203159897,117.45628958973609,88.87815581827533,102.27956101126267,53.83134790066456,46.7779767464607
38,PH012916000,2015273N12130,163,19.88956440826966,116.50966449790349,88.88423889167369,102.28656131489247,53.83503227099603,46.78117836403879
39,PH012917000,2015273N12130,406,18.654059264796864,128.90652412105064,83.36290458438901,95.93269805179601,50.490893711471585,43.875212939152114
40,PH012918000,2015273N12130,81,17.98824183903789,135.3178800085355,80.38744097369305,92.50858209096064,48.68872741629508,42.30917945983845
41,PH012919000,2015273N12130,81,15.864650796496893,164.7587233287443,70.89735010699953,81.58753721929352,42.94080906278607,37.314394793157646
42,PH012920000,2015273N12130,240,15.188661330787514,175.16744797829713,67.87642878740617,78.11110925369391,41.111110133523106,35.72443620389798
43,PH012921000,2015273N12130,80,16.078092826782314,162.85336206012292,71.8511986689884,82.68521089729964,43.518532051210336,37.81642035209916
44,PH012922000,2015273N12130,81,16.599137323848343,154.2170869154435,74.17968825275995,85.36479948973621,44.92884183670326,39.04194118566313
45,PH012923000,2015273N12130,81,16.43596323508088,157.62146451270408,73.45048149944824,84.52564001428912,44.48717895488901,38.65814815760434
46,PH012924000,2015273N12130,245,21.23043022625421,104.11597803342698,94.87641826981356,109.182265559139,57.46435029428368,49.9349569841124
47,PH012925000,2015273N12130,82,20.086210380376407,114.38522983573021,89.76302774813323,103.29785748359389,54.36729341241784,47.24369881480696
48,PH012926000,2015273N12130,243,17.98824183903789,135.3178800085355,80.38744097369305,92.50858209096064,48.68872741629508,42.30917945983845
49,PH012927000,2015273N12130,162,18.675355013339114,128.10143906684186,83.4580729029078,96.0422162314957,50.54853485868195,43.92530152784621
50,PH012928000,2015273N12130,81,15.864650796496893,164.7587233287443,70.89735010699953,81.58753721929352,42.94080906278607,37.314394793157646
51,PH012929000,2015273N12130,326,20.859785069361433,108.08270758730522,93.22004651661409,107.27613942241888,56.461126011799415,49.06318237716531
52,PH012930000,2015273N12130,159,14.068447229930667,192.71427966637353,62.870317255421945,72.35015612465202,38.07902953929054,33.089640660748394
53,PH012931000,2015273N12130,246,24.710309275468504,77.19992858584854,110.42760855107937,127.07832675130233,66.88332986910649,58.1197939742523
54,PH012932000,2015273N12130,410,21.850441754280364,99.04858616103091,97.64718044647314,112.37081438180799,59.1425338851621,51.393252866564815
55,PH012933000,2015273N12130,165,22.687344365867435,91.72675096339164,101.38720461846768,116.67477441519627,61.40777600799804,53.36168664129878
56,PH012934000,2015273N12130,81,16.43596323508088,157.62146451270408,73.45048149944824,84.52564001428912,44.48717895488901,38.65814815760434
57,PH013301000,2015273N12130,82,23.681004202882765,27.99608371563281,105.82775929917302,121.78489376013052,64.09731250533186,55.698820683775274
58,PH013302000,2015273N12130,165,24.961240763673768,33.41019787251706,111.54899330769105,128.3687984040386,67.5625254758098,58.70999647773213
59,PH013303000,2015273N12130,166,25.556812359619805,69.21631223943768,114.21053616124661,131.4316593755345,69.1745575660708,60.110808505919266
60,PH013304000,2015273N12130,330,26.26806281511444,57.74630253968168,117.38903490060119,135.0894249169432,71.09969732470694,61.78370257926378
61,PH013305000,2015273N12130,164,24.703130784423475,76.26286997698615,110.39552867744156,127.04140974551206,66.86389986605899,58.10290983023241
62,PH013306000,2015273N12130,83,23.32568016865388,86.64578686204071,104.23985592964412,119.95755994488134,63.13555786572702,54.86308206823375
63,PH013307000,2015273N12130,247,25.850519529158188,43.23926723402195,115.52308065370379,132.94211459662122,69.96953399822169,60.80162139668621
64,PH013308000,2015273N12130,82,26.043422647367414,52.49528396471837,116.38514311469609,133.93416229678795,70.4916643667305,61.255338481418995
65,PH013309000,2015273N12130,83,24.73886375632404,38.30161477401226,110.55521533248962,127.22517459557338,66.96061820819652,58.18695543815244
66,PH013310000,2015273N12130,83,24.228467053690686,79.34407225964073,108.27430955118838,124.60034468239945,65.57912878021024,56.98647871115178
67,PH013311000,2015273N12130,332,26.144362340419647,45.51292002764264,116.83623131385124,134.45326738579638,70.76487757147177,61.492753323079604
68,PH013312000,2015273N12130,83,24.156881352331006,32.50049791409844,107.95440105795682,124.23219910207935,65.38536794846281,56.81810581997727
69,PH013313000,2015273N12130,248,23.624740192362605,20.226784151280274,105.57632172872536,121.4955434232524,63.945022854343364,55.56648512038177
70,PH013314000,2015273N12130,247,26.16102754036319,53.47607225864508,116.91070622856297,134.53897192717594,70.80998522482945,61.531950646612096
71,PH013315000,2015273N12130,329,26.062682196302827,65.82650882319383,116.4712118849005,134.0332088617424,70.54379413775915,61.30063783415816
72,PH013316000,2015273N12130,82,26.14129751582842,64.00129981092965,116.82253495552304,134.43750583556658,70.75658201871924,61.48554471343318
73,PH013317000,2015273N12130,165,23.42360589363429,22.647849455184485,104.67747504256849,120.46116502475675,63.40061317092461,55.09340791714131
74,PH013318000,2015273N12130,330,25.152553625985487,73.09133113338314,112.4039490929316,129.35266785534944,68.08035150281549,59.15997320680611
75,PH013319000,2015273N12130,246,23.817134920395382,83.35735576496262,106.43611225087747,122.48497661251845,64.4657771644834,56.01900644783025
76,PH013320000,2015273N12130,164,24.46906019703676,29.819943561960713,109.34949340086484,125.83764906994949,66.2303416157629,57.552364947823605
77,PH015501000,2015273N12130,494,21.346211932478212,10.987613853368707,95.3938337659026,109.77769904122674,57.77773633748776,50.207280929422424
78,PH015502000,2015273N12130,410,18.366897531286714,23.19005122782125,82.07961091350043,94.45590420860033,49.713633794000174,43.1997952176318
79,PH015503000,2015273N12130,577,21.851228921281,3.446174867490213,97.65069820776222,112.37486256526856,59.14466450803609,51.395104319874854
80,PH015504000,2015273N12130,82,18.998430097552294,18.410071734670993,84.90185932153908,97.70370256334041,51.423001349126544,44.685189116599524
81,PH015505000,2015273N12130,165,22.8704786966057,8.339506121780351,102.20561146079345,117.61658392723028,61.903465224858046,53.79242708462813
82,PH015506000,2015273N12130,164,21.788917200588763,8.966853183019824,97.37223409693146,112.05441051773289,58.97600553564889,51.248544261542875
83,PH015507000,2015273N12130,164,20.79261658209668,4.536174495859329,92.91987805915151,106.93071035972014,56.27932124195797,48.9051989785008
84,PH015508000,2015273N12130,576,22.423352552504838,1.7572514611186865,100.20745472939464,115.3171371009816,60.69323005314821,52.74076564704981
85,PH015509000,2015273N12130,82,18.865121230888526,18.599427932334663,84.30611690568236,97.01813171402847,51.06217458633078,44.371640476674926
86,PH015510000,2015273N12130,82,18.998430097552294,18.410071734670993,84.90185932153908,97.70370256334041,51.423001349126544,44.685189116599524
87,PH015511000,2015273N12130,409,18.8337144367251,19.40332649083759,84.16576345510187,96.85661520662995,50.977165898226296,44.297770239527296
88,PH015512000,2015273N12130,164,21.889754381343018,6.233541093277538,97.82286418009193,112.57298841417753,59.24894127061975,51.48571798952207
89,PH015513000,2015273N12130,164,20.017160239802006,7.52597710287502,89.45445039247393,102.94275159526538,54.18039557645547,47.08128968024945
90,PH015514000,2015273N12130,497,23.80692230947131,3.8190059730915267,106.3904732348362,122.43245596239119,64.438134717048,55.99498591307168
91,PH015515000,2015273N12130,574,19.292924966091164,15.3225775331426,86.2179239527332,99.21820870381669,52.22010984411404,45.377854711964844
92,PH015516000,2015273N12130,328,20.294877294606284,18.33544420329553,90.69553685051885,104.37097405259674,54.93209160662986,47.73449307922045
93,PH015517000,2015273N12130,247,20.363741604307606,5.357825530673983,91.00328374878967,104.72512426383734,55.118486454651226,47.89646513094193
94,PH015518000,2015273N12130,82,20.24106870318662,6.235275613701021,90.45507227341724,104.09425126105954,54.786448032136605,47.60793277548276
95,PH015519000,2015273N12130,493,19.384735012997226,26.563598178853546,86.62821278432075,99.69036253280026,52.468611859368565,45.59379620227408
96,PH015520000,2015273N12130,491,18.811828469559114,27.912518345946754,84.06795751556363,96.74406169482309,50.91792720780163,44.24629342924402
97,PH015521000,2015273N12130,246,19.750708600017845,14.25096380539164,88.26370781422992,101.5724640700693,53.459191615825944,46.45458306012101
98,PH015522000,2015273N12130,164,19.82973824804599,11.071167151916374,88.61688247259187,101.9788918214666,53.67310095866664,46.64046445925888
99,PH015523000,2015273N12130,740,20.79330319957188,12.834717499343764,92.92294647585689,106.9342414446165,56.28117970769289,48.90681393466153
100,PH015524000,2015273N12130,328,19.868515242546415,9.550858305415153,88.7901725241952,102.17831124283543,53.778058548860756,46.731669749576426
101,PH015525000,2015273N12130,247,21.714919290296958,3.8484246381986766,97.04154571176367,111.67385961008758,58.77571558425662,51.07449774303351
102,PH015526000,2015273N12130,83,21.007031729689057,6.749267447111213,93.87807537355174,108.03338851248705,56.85967816446688,49.409513354500916
103,PH015527000,2015273N12130,817,17.915822688029905,28.53098758046177,80.0638078871962,92.13615030824795,48.492710688551554,42.13884625641906
104,PH015528000,2015273N12130,82,20.749584052619443,1.2456318862803315,92.72757049767584,106.70940589198237,56.162845206306514,48.803984472460975
105,PH015529000,2015273N12130,328,23.107078825822416,14.07442202350292,103.26295097690449,118.83335334095231,62.54387017944859,54.348921566791844
106,PH015530000,2015273N12130,83,22.27098574740292,14.912417230482339,99.52654451809767,114.53355651407183,60.280819217932546,52.382391851630345
107,PH015531000,2015273N12130,164,20.070616409857298,8.000325092539615,89.69334003791298,103.21766198062036,54.32508525295808,47.207021072585775
108,PH015532000,2015273N12130,328,19.441794644844087,13.363741158290448,86.88320589749515,99.98380453141348,52.623055016533414,45.72800310394481
109,PH015533000,2015273N12130,165,22.35042887615911,9.903954536824223,99.88156697558955,114.9421106831711,60.49584772798479,52.56924577662608
110,PH015534000,2015273N12130,246,21.978677741342672,4.360900954137669,98.2202527307418,113.03029680606716,59.48962989793009,51.694869858285166
111,PH015535000,2015273N12130,329,23.431834207247338,14.053152836901154,104.7142464558506,120.5034809793761,63.42288472598743,55.11276129255295
112,PH015536000,2015273N12130,657,24.060355937207163,17.207742234445696,107.5230397731708,123.73579543079506,65.1241028583132,56.591073564826736
113,PH015537000,2015273N12130,246,22.620835499651662,8.709168515338938,101.08998393370099,116.33273760219622,61.22775663273485,53.20525470194789
114,PH015538000,2015273N12130,165,20.30373176774869,6.402445009538089,90.73510650070797,104.41651017351928,54.95605798606278,47.75531921089894
115,PH015539000,2015273N12130,164,21.51577366593037,5.103263386963537,96.15158618891603,110.64970841706818,58.23668864056221,50.60609799416633
116,PH015540000,2015273N12130,82,19.788946049187683,10.625438450039722,88.4345866980936,101.76910875814548,53.56268882007657,46.54451931478611
117,PH015541000,2015273N12130,575,23.350107169474573,15.697988725364524,104.34901746439601,120.08318129414255,63.201674365338185,54.92053550757686
118,PH015542000,2015273N12130,330,20.783329282953936,5.296474552519838,92.87837415797414,106.88294833367904,56.254183333515286,48.88335481998639
119,PH015543000,2015273N12130,82,22.05955914788538,12.93947350811789,98.58170269080466,113.4462476423824,59.70855139072758,51.88510667937088
120,PH015544000,2015273N12130,736,22.086687701689677,3.8259697275477906,98.70293716369859,113.5857623358733,59.78198017677543,51.948914296683476
121,PH015545000,2015273N12130,164,18.30844765619566,23.97692351146071,81.81840495875252,94.15531257121569,49.55542766906089,43.06231839934344
122,PH015546000,2015273N12130,246,21.020054163648382,1.8528260754456383,93.93627117448695,108.10035930995187,56.89492595260626,49.44014272341419
