,adm3_pcode,storm_id,value_count,v_max,dis_track_min,vmax_gust,vmax_gust_mph,vmax_sust_mph,vmax_sust
0,PH012901000,2019354N05151,512,3.1905627191913415,451.1103156783253,14.25826795953159,16.408186851487056,8.635887816572135,7.504351557648206
1,PH012902000,2019354N05151,62,2.757862872574675,471.2969436791577,12.324580738152552,14.182930506833367,7.464700266754404,6.486621441132923
2,PH012903000,2019354N05151,82,2.402360898639565,492.93423093048233,10.73588217597731,12.354681596597809,6.5024639982093735,5.650464303145953
3,PH012904000,2019354N05151,46,2.649759497441357,482.7030721903335,11.841478844963229,13.626984570464671,7.172097142349828,6.232357286822753
4,PH012906000,2019354N05151,354,2.8861210523485346,463.47924241330736,12.897752199167105,14.842527062106381,7.8118563484770425,6.7882906311405815
5,PH012907000,2019354N05151,37,2.535733647994181,488.90544292332163,11.331910076434802,13.040580977024893,6.863463672118365,5.964163198123581
6,PH012908000,2019354N05151,745,3.0420576623887468,467.52013597568833,13.594615469486348,15.64446617433163,8.2339295654377,7.155060773413868
7,PH012909000,2019354N05151,74,2.837459665741294,472.03483387543054,12.680289904708827,14.592274929746978,7.680144699866831,6.673836791952014
8,PH012910000,2019354N05151,185,2.8415277234250387,476.3405131102038,12.69846959952591,14.613195831942695,7.691155701022471,6.683405052382057
9,PH012911000,2019354N05151,51,2.6787702167619503,479.1156646308039,11.971124505048111,13.776178723723314,7.250620380907007,6.300591844762164
10,PH012912000,2019354N05151,64,2.366704302696218,496.63615408296647,10.576536836540184,12.171309527085665,6.4059523826766664,5.566598335021149
11,PH012913000,2019354N05151,65,2.4506042012833333,489.95758180098767,10.951476099961345,12.602783638081082,6.633044020042675,5.763934789453339
12,PH012914000,2019354N05151,110,2.613517009735561,485.7956450097422,11.679515220765852,13.440599420703334,7.073999695107018,6.147113274087292
13,PH012915000,2019354N05151,359,2.8695024842701926,478.0345472319265,12.82348567704565,14.757062335588577,7.766874913467672,6.749202987918763
14,PH012916000,2019354N05151,183,2.893033378504876,468.5366415089729,12.928642611685236,14.878075255053488,7.8305659237123635,6.80454874299223
15,PH012917000,2019354N05151,225,2.6659710344172343,479.84600590750966,11.91392639061013,13.710356047931633,7.215976867332439,6.270487574005331
16,PH012918000,2019354N05151,51,2.6905365744035725,478.4929962798468,12.023707041399083,13.836689866031806,7.2824683505430565,6.328266863894255
17,PH012919000,2019354N05151,27,2.3676311922705584,496.75227451332466,10.580679002384581,12.17607626532748,6.4084611922776205,5.568778422307674
18,PH012920000,2019354N05151,14,2.2993150469706616,504.48485572555313,10.275381789517033,11.8247451128911,6.223550059416368,5.408095678693176
19,PH012921000,2019354N05151,31,2.405586565397301,492.75470401730786,10.750297319959062,12.371270313868028,6.511194902035805,5.658051221031086
20,PH012922000,2019354N05151,36,2.498064118301097,489.1493583885097,11.163569161196612,12.846856942673858,6.761503654038873,5.87556271641927
21,PH012923000,2019354N05151,37,2.535733647994181,488.90544292332163,11.331910076434802,13.040580977024893,6.863463672118365,5.964163198123581
22,PH012924000,2019354N05151,295,3.0352736789493715,457.253113879545,13.564298606216486,15.609578012691326,8.215567375100699,7.139104529587624
23,PH012925000,2019354N05151,95,2.9183942103167775,464.2249340548403,13.041977332697195,15.008499040355002,7.899210021239475,6.864198596156419
24,PH012926000,2019354N05151,138,2.6905365744035725,478.4929962798468,12.023707041399083,13.836689866031806,7.2824683505430565,6.328266863894255
25,PH012927000,2019354N05151,116,2.7813808911417834,470.66719253018107,12.429680132873765,14.303877210279982,7.528356426463149,6.541936912038824
26,PH012928000,2019354N05151,27,2.3676311922705584,496.75227451332466,10.580679002384581,12.17607626532748,6.4084611922776205,5.568778422307674
27,PH012929000,2019354N05151,378,2.980522049920931,465.9157908218663,13.319619699510577,15.328005438010942,8.067371283163654,7.010326157637146
28,PH012931000,2019354N05151,321,3.3592583820237634,444.8956534880628,15.012150009806751,17.27574226424866,9.092495928551926,7.901131584108817
29,PH012932000,2019354N05151,499,3.095748090519511,453.7871065756853,13.83455198806525,15.920581284561838,8.379253307664126,7.28134315161329
30,PH012933000,2019354N05151,211,3.186576115935368,445.9834073293405,14.240452275442355,16.387684847018285,8.62509728790436,7.494974881811765
31,PH012934000,2019354N05151,37,2.535733647994181,488.90544292332163,11.331910076434802,13.040580977024893,6.863463672118365,5.964163198123581
32,PH013301000,2019354N05151,123,4.123570100343306,399.7021155216723,18.427773598354214,21.206387291702235,11.161256469316966,9.698828209660112
33,PH013302000,2019354N05151,242,4.025787843662362,403.17555523054267,17.99079562921466,20.703520029845794,10.896589489392522,9.468839804849821
34,PH013303000,2019354N05151,226,3.4862321069575946,427.68545205927626,15.579581385794649,17.928733221427425,9.436175379698645,8.199779676734025
35,PH013304000,2019354N05151,456,3.631988020868455,424.9727104722693,16.230948263720872,18.678315812540006,9.830692532915794,8.542604349326774
36,PH013305000,2019354N05151,220,3.384154864871672,435.4922803440161,15.123409607231412,17.40377803049646,9.159883173945506,7.9596892669639026
37,PH013306000,2019354N05151,108,3.250935492370672,442.49750237297627,14.528067130779066,16.718667425058094,8.799298644767418,7.646351121462666
38,PH013307000,2019354N05151,357,3.8618156734927913,409.3624391742994,17.25802233937436,19.860256241172156,10.452766442722188,9.083169652302296
39,PH013308000,2019354N05151,116,3.717582148904693,422.2710152494139,16.613458849067538,19.118502879780817,10.062369936726746,8.743925710035548
40,PH013309000,2019354N05151,121,3.942138920495331,406.6629400488949,17.616977946876762,20.273336616432687,10.67017716654352,9.272093656250929
41,PH013310000,2019354N05151,111,3.3475889072524705,434.69382374180344,14.960000432167902,17.215729363905297,9.060910191529103,7.873684437983107
42,PH013311000,2019354N05151,470,3.8226702319629835,413.65575267461094,17.083085739203828,19.65894199803205,10.346811577911605,8.9910977574757
43,PH013312000,2019354N05151,122,4.089208627586431,408.37490759460997,18.27421601959085,21.029675684656944,11.068250360345761,9.618008431363604
44,PH013313000,2019354N05151,372,4.310634268986338,397.1518632061221,19.2637424467633,22.16840687961082,11.667582568216222,10.138811814085948
45,PH013314000,2019354N05151,348,3.70646410785221,416.36762231894704,16.563773567045704,19.061325851442103,10.032276763916895,8.717775561603002
46,PH013315000,2019354N05151,451,3.52356794832434,428.48276137296483,15.746431085222133,18.120741188460368,9.537232204452826,8.28759530801165
47,PH013316000,2019354N05151,114,3.5579766933738863,424.17548928464356,15.900199918574511,18.297695903909823,9.630366265215695,8.368526272933954
48,PH013317000,2019354N05151,248,4.224230368944036,396.2356116800781,18.87761308088643,21.724055377581536,11.433713356621862,9.93558583204549
49,PH013318000,2019354N05151,440,3.4195647066216415,436.2938486449155,15.281652229775325,17.585881111034663,9.255726900544559,8.042974857776487
50,PH013319000,2019354N05151,321,3.2856396376310815,443.3005939261921,14.683156074636228,16.89714130257468,8.89323226451299,7.727976881387489
51,PH013320000,2019354N05151,244,4.106456131851033,404.03864967945873,18.35129318718848,21.118374857060974,11.114934135295249,9.658575361678148
52,PH015501000,2019354N05151,793,5.275367565316268,326.97077019702516,23.575027652289894,27.129764978863154,14.278823673085872,12.407909290678893
53,PH015502000,2019354N05151,677,5.508491431550001,343.1483800868825,24.61683213791525,28.328656927827467,14.909819435698667,12.956227441008027
54,PH015503000,2019354N05151,911,4.968907627422427,346.90402860616757,22.205492464321775,25.55372577637046,13.449329355984451,11.68710129701146
55,PH015504000,2019354N05151,134,5.2087841590419135,355.69372402763406,23.277473856337963,26.787344826835874,14.098602540439934,12.25130202965156
56,PH015505000,2019354N05151,253,4.54626685728784,361.70584932878967,20.316758130734033,23.380200496421615,12.305368682327167,10.693030595123178
57,PH015506000,2019354N05151,255,4.664054377826994,379.7061770498087,20.843137386667216,23.98594933005359,12.624183857922942,10.97007230877222
58,PH015507000,2019354N05151,262,4.995569428799699,364.60991277043183,22.324641072820935,25.690840090458096,13.52149478445163,11.749811090958387
59,PH015508000,2019354N05151,908,4.882435204378576,341.0021124299929,21.8190568768146,25.109021879383924,13.215274673359962,11.483714145691895
60,PH015509000,2019354N05151,134,5.151503030958611,357.96085667789816,23.02149090125505,26.492763733976805,13.943559859987792,12.11657415855529
61,PH015510000,2019354N05151,134,5.2087841590419135,355.69372402763406,23.277473856337963,26.787344826835874,14.098602540439934,12.25130202965156
62,PH015511000,2019354N05151,674,5.394426390476422,348.0984530731951,24.10708822639162,27.742051782628444,14.601079885593917,12.687941171785063
63,PH015512000,2019354N05151,256,4.688445664695763,378.56291829336544,20.952139319762225,24.111387012279256,12.690203690673293,11.027441747243277
64,PH015513000,2019354N05151,263,4.938028002695994,366.9318596753077,22.067494874996573,25.394920356446434,13.36574755602444,11.6144709868403
65,PH015514000,2019354N05151,763,4.66592059834775,348.8062657375885,20.851477317456375,23.99554678909317,12.6292351521543,10.97446174602967
66,PH015515000,2019354N05151,937,5.260979685002056,347.0085923627199,23.510729824306214,27.055772066210977,14.239880034847884,12.37406832858222
67,PH015516000,2019354N05151,533,5.398723903597455,323.4695980767229,24.126293331895646,27.764152711051654,14.612711953185082,12.69804912205034
68,PH015517000,2019354N05151,393,4.918756959545805,367.9221051891875,21.981374738431846,25.295814679905614,13.313586673634536,11.569144599174654
69,PH015518000,2019354N05151,131,4.79691929704055,373.37696793345685,21.436895851020036,24.66923707968802,12.983808989309486,11.282576763694756
70,PH015519000,2019354N05151,808,5.421833796868964,327.7868732227927,24.22956886031556,27.883000538312974,14.675263441217353,12.75240466332398
71,PH015520000,2019354N05151,814,5.617087221540474,326.0773310451623,25.10213457802952,28.887135218421967,15.203755378116826,13.211649777910274
72,PH015521000,2019354N05151,397,5.034008167469203,352.8970924912895,22.496419496946412,25.888519955088544,13.625536818467657,11.840220787866535
73,PH015522000,2019354N05151,263,4.872509840249741,361.61458990866976,21.77470153457556,25.057978460548938,13.18840971607839,11.460369228723978
74,PH015523000,2019354N05151,1198,5.201758201484202,339.91166923142106,23.24607563779564,26.751212258833334,14.079585399385966,12.234776651471392
75,PH015524000,2019354N05151,530,5.12752848837932,359.01974015931955,22.914351351781036,26.369469253052245,13.878668027922236,12.060184921990022
76,PH015525000,2019354N05151,386,4.734232030773224,376.39446900639615,21.156753469015218,24.346853704512153,12.814133528690606,11.13513340474485
77,PH015526000,2019354N05151,129,4.660215038220566,379.8064452107782,20.825979807357832,23.96620466204576,12.613791927392507,10.961042003872544
78,PH015527000,2019354N05151,1372,5.778567273819453,333.17338672932294,25.82377087173523,29.717582729967184,15.640833015772202,13.591458353544859
79,PH015528000,2019354N05151,129,4.756709963100559,375.35381576136956,21.257204834654125,24.462451530388922,12.87497448967838,11.188002544554802
80,PH015529000,2019354N05151,496,4.638591816995069,383.38678117268427,20.72934805004215,23.855002380371477,12.55526441072183,10.91018318423271
81,PH015530000,2019354N05151,126,4.484601171534085,388.33158917054874,20.041181077790803,23.0630708289537,12.138458331028263,10.547990040942528
82,PH015531000,2019354N05151,265,5.152085703313207,357.9832238253502,23.024094798841663,26.495760257696556,13.945136977735029,12.117944630969296
83,PH015532000,2019354N05151,533,5.173648076890235,356.98512714549355,23.120454634821538,26.606649616644216,14.003499798233799,12.168660334116598
