gridid,glat,glon
PH050501000,13.286,123.84
PH050502000,13.14,123.63
PH050503000,13.115,123.68
PH050504000,13.173,123.57
PH050505000,13.049,123.58
PH050506000,13.099,123.75
PH050507000,13.249,123.37
PH050508000,13.184,123.49
PH050509000,13.304,123.73
PH050510000,13.383,123.65
PH050511000,13.086,123.87
PH050512000,13.167,123.4
PH050513000,13.063,123.46
PH050514000,13.324,123.49
PH050515000,13.234,124.06
PH050516000,13.244,123.75
PH050517000,13.333,123.69
PH050518000,13.462,123.61
PH051601000,13.99,122.97
PH051602000,14.268,122.49
PH051603000,14.106,122.94
PH051605000,14.263,122.65
PH051606000,14.136,122.69
PH051607000,13.974,123.04
PH051608000,14.254,122.77
PH051604000,14.015,122.87
PH051609000,14.081,122.86
PH051610000,14.151,122.38
PH051611000,14.141,122.92
PH051612000,14.253,122.9
PH051701000,13.482,123.36
PH051702000,13.348,123.25
PH051703000,13.32,123.31
PH051704000,13.684,123.2
PH051705000,13.43,123.51
PH051706000,13.456,123.26
PH051707000,13.741,123.07
PH051708000,13.71,123.27
PH051709000,13.624,123.15
PH051710000,13.644,123.13
PH051711000,13.798,123.83
PH051712000,13.949,122.68
PH051713000,13.602,123.13
PH051714000,13.866,123.63
PH051715000,13.73,123.43
PH051716000,13.451,123.43
PH051717000,13.822,123.51
PH051718000,13.665,122.97
PH051719000,13.853,122.89
PH051720000,13.672,123.16
PH051721000,13.595,123.19
PH051722000,13.515,123.19
PH051723000,13.396,123.34
PH051724000,13.643,123.25
PH051725000,13.581,123.38
PH051726000,13.589,123.07
PH051727000,13.555,122.99
PH051728000,13.589,123.29
PH051729000,13.747,123.72
PH051730000,13.865,122.77
PH051731000,13.561,123.51
PH051732000,13.524,123.12
PH051733000,13.692,123.55
PH051734000,13.794,122.96
PH051735000,14.016,123.29
PH051736000,13.626,123.46
PH051737000,13.867,123.35
PH052001000,13.962,124.26
PH052002000,13.694,124.36
PH052003000,13.605,124.3
PH052004000,13.873,124.18
PH052005000,13.785,124.35
PH052006000,14.031,124.19
PH052007000,13.91,124.29
PH052008000,13.662,124.11
PH052009000,13.704,124.25
PH052010000,13.847,124.31
PH052011000,13.601,124.19
PH054101000,12.439,123.34
PH054102000,12.424,123.48
PH054103000,12.021,123.23
PH054104000,12.4,123.76
PH054105000,12.001,123.95
PH054106000,12.019,123.75
PH054107000,12.868,123.22
PH054108000,12.154,123.85
PH054109000,11.812,124.01
PH054110000,12.226,123.31
PH054111000,12.337,123.56
PH054112000,12.203,123.52
PH054113000,12.274,123.66
PH054114000,12.63,123.63
PH054115000,12.098,123.89
PH054116000,11.856,124.03
PH054117000,11.928,123.89
PH054118000,12.479,123.72
PH054119000,12.557,123.69
PH054120000,13.058,123.02
PH054121000,12.171,123.76
PH056202000,12.833,124.11
PH056203000,12.684,123.92
PH056204000,12.757,124.1
PH056205000,12.859,124.04
PH056206000,12.95,123.81
PH056207000,12.971,123.57
PH056208000,12.925,124.1
PH056209000,12.712,124.02
PH056210000,12.811,123.97
PH056211000,12.809,123.88
PH056212000,12.589,124.03
PH056213000,12.952,123.69
PH056214000,13.036,124.15
PH056215000,12.657,124.08
PH056216000,13.018,123.99
