"","gridid","glat","glon","vmax_gust","vmax_sust","dist_track","gust_dur","sust_dur","dist_track_dur","vavg_gust","vavg_sust","gust_15","sust_15","gust_20","sust_20","gust_30","sust_30","gust_50","sust_50"
"1","PH050501000",13.286,123.84,19.32404924487,12.9691605670269,52.9674239607271,360,0,0,2.75762585580057,1.85075560791984,360,0,0,0,0,0,0,0
"2","PH050502000",13.14,123.63,17.1436210702389,11.5057859531805,25.1120972227141,360,0,0,2.72479062285358,1.82871853882791,360,0,0,0,0,0,0,0
"3","PH050503000",13.115,123.68,17.6003227477015,11.8122971461084,27.7803052758483,540,0,0,2.73101757620942,1.83289770215397,540,0,0,0,0,0,0,0
"4","PH050504000",13.173,123.57,16.5928021213473,11.1361088062733,23.9404871756823,360,0,0,2.7294601177562,1.8318524280243,360,0,0,0,0,0,0,0
"5","PH050505000",13.049,123.58,17.2176408238052,11.5554636401377,14.7179225888419,360,0,180,2.66128194820703,1.78609526725304,360,0,0,0,0,0,0,0
"6","PH050506000",13.099,123.75,18.1365575359529,12.1721862657402,33.8051728176794,540,0,0,2.74881033150324,1.84483914865989,540,0,0,0,0,0,0,0
"7","PH050507000",13.249,123.37,18.1050024163195,12.1510083331003,30.8583818516272,540,0,0,2.81743295368222,1.89089459978673,540,0,0,0,0,0,0,0
"8","PH050508000",13.184,123.49,17.0627105046733,11.4514835601834,22.2481684685409,360,0,0,2.73725984180186,1.8370871421489,360,0,0,0,0,0,0,0
"9","PH050509000",13.304,123.73,19.5836414419046,13.1433835180568,45.8746023410454,540,0,0,2.78331322109268,1.86799545039777,540,0,0,0,0,0,0,0
"10","PH050510000",13.383,123.65,19.6606314039266,13.1950546335078,48.7088810576874,540,0,0,2.79529231361193,1.87603510980666,540,0,0,0,0,0,0,0
"11","PH050511000",13.086,123.87,19.5739715447162,13.136893654172,45.7703262746658,360,0,0,2.77910353284278,1.86517015627032,360,0,0,0,0,0,0,0
"12","PH050512000",13.167,123.4,17.7768967120951,11.9308031624799,21.1707885572007,360,0,0,2.75232867329629,1.8472004518767,360,0,0,0,0,0,0,0
"13","PH050513000",13.063,123.46,17.0882246692939,11.4686071605999,8.54887329400045,360,0,180,2.62849715844331,1.76409205264652,360,0,0,0,0,0,0,0
"14","PH050514000",13.324,123.49,17.9547113310423,12.0501418329143,37.7380199037358,540,0,0,2.81271809443769,1.88773026472328,540,0,0,0,0,0,0,0
"15","PH050515000",13.234,124.06,18.462968213332,12.391253834451,57.1079134061886,360,0,0,2.70000298488268,1.81208254018972,360,0,0,0,0,0,0,0
"16","PH050516000",13.244,123.75,19.1721221915702,12.867196101725,42.5217311127012,540,0,0,2.77799348584279,1.86442515828375,540,0,0,0,0,0,0,0
"17","PH050517000",13.333,123.69,19.5862533238648,13.1451364589696,45.9212605364636,540,0,0,2.78947533163476,1.87213109505689,540,0,0,0,0,0,0,0
"18","PH050518000",13.462,123.61,19.1395153296183,12.8453123017572,55.3849315217922,540,0,0,2.78748000169552,1.87079194744666,540,0,0,0,0,0,0,0
"19","PH051601000",13.99,122.97,16.8759569850013,11.3261456275176,83.1370750610069,180,0,0,2.8460837313846,1.91012330965409,180,0,0,0,0,0,0,0
"20","PH051602000",14.268,122.49,16.1042234766106,10.8082036755776,91.4502588869526,180,0,0,2.93215564364135,1.96788969371903,180,0,0,0,0,0,0,0
"21","PH051603000",14.106,122.94,16.0435923460895,10.7675116416708,94.8409809636008,180,0,0,2.81706979383681,1.89065086834685,180,0,0,0,0,0,0,0
"22","PH051605000",14.263,122.65,15.4833427783139,10.3915052203449,100.741896823902,180,0,0,2.87210507291095,1.92758729725567,180,0,0,0,0,0,0,0
"23","PH051606000",14.136,122.69,15.9845796412789,10.727905799516,93.2017570517551,360,0,0,2.90110993346398,1.94705364662012,360,0,0,0,0,0,0,0
"24","PH051607000",13.974,123.04,16.8171460845591,11.2866752245363,83.936911643843,180,0,0,2.82567177093787,1.89642400734085,180,0,0,0,0,0,0,0
"25","PH051608000",14.254,122.77,15.0797734570349,10.1206533268691,108.581559701622,180,0,0,2.82902460414035,1.89867423096668,180,0,0,0,0,0,0,0
"26","PH051604000",14.015,122.87,16.8502667995023,11.3089038922834,83.4878441997541,360,0,0,2.87472681132272,1.92934685323672,360,0,0,0,0,0,0,0
"27","PH051609000",14.081,122.86,16.3377914285118,10.9649606902763,90.6097062341483,360,0,0,2.85585930397769,1.91668409662932,360,0,0,0,0,0,0,0
"28","PH051610000",14.151,122.38,17.334773812795,11.6340763844262,74.3387075049619,360,0,0,3.01425176722333,2.02298776323714,360,0,0,0,0,0,0,0
"29","PH051611000",14.141,122.92,15.8138674036575,10.613333827958,98.2271084577626,180,0,0,2.81228133524032,1.88743713774518,180,0,0,0,0,0,0,0
"30","PH051612000",14.253,122.9,15.0119814228367,10.0751553173401,110.168697081575,180,0,0,2.77959594838097,1.8655006364973,180,0,0,0,0,0,0,0
"31","PH051701000",13.482,123.36,19.0738048340385,12.8012112980124,56.2574320031779,360,0,0,2.86290577696704,1.92141327313224,360,0,0,0,0,0,0,0
"32","PH051702000",13.348,123.25,19.5998807110603,13.1542823564163,46.2931312401308,360,0,0,2.9168404529209,1.95761104222879,360,0,0,0,0,0,0,0
"33","PH051703000",13.32,123.31,18.723252692288,12.5659414042201,40.5849028517114,360,0,0,2.88117317288907,1.93367327039535,360,0,0,0,0,0,0,0
"34","PH051704000",13.684,123.2,18.1380081019953,12.1731597999969,66.6030780296979,360,0,0,2.86151621551209,1.92048068155174,360,0,0,0,0,0,0,0
"35","PH051705000",13.43,123.51,19.5943823574435,13.1505921862037,49.6923719867591,360,0,0,2.82833922602511,1.89821424565444,360,0,0,0,0,0,0,0
"36","PH051706000",13.456,123.26,19.0450480769082,12.7819114610122,56.6346498684874,360,0,0,2.90002744268176,1.94632714273943,360,0,0,0,0,0,0,0
"37","PH051707000",13.741,123.07,18.4710100364154,12.3966510311513,62.359679841067,360,0,0,2.89035894126116,1.93983821561152,360,0,0,0,0,0,0,0
"38","PH051708000",13.71,123.27,17.5505100495822,11.7788658050887,74.1659504578332,360,0,0,2.82918735647171,1.89878346071927,360,0,0,0,0,0,0,0
"39","PH051709000",13.624,123.15,18.8032921011838,12.6196591283112,58.0990374706574,360,0,0,2.89551854337813,1.94330103582425,360,0,0,0,0,0,0,0
"40","PH051710000",13.644,123.13,18.8056849931805,12.6212650960943,58.0690440537582,360,0,0,2.89695125873721,1.94426258975652,360,0,0,0,0,0,0,0
"41","PH051711000",13.798,123.83,15.8517391277075,10.6387510924211,98.8274216734149,180,0,0,2.60066814627494,1.74541486327177,180,0,0,0,0,0,0,0
"42","PH051712000",13.949,122.68,17.4443133671123,11.7075928638338,75.5642602531338,360,0,0,2.965695707335,1.99039980358054,360,0,0,0,0,0,0,0
"43","PH051713000",13.602,123.13,19.0502736232546,12.785418539097,54.8528676592629,360,0,0,2.90784132074224,1.95157135620284,360,0,0,0,0,0,0,0
"44","PH051714000",13.866,123.63,15.7970717233833,10.6020615593177,99.6413553788342,180,0,0,2.64853456345484,1.77753997547305,180,0,0,0,0,0,0,0
"45","PH051715000",13.73,123.43,16.9910946708568,11.4034192421858,82.8649966160172,360,0,0,2.76654014890625,1.85673835497064,360,0,0,0,0,0,0,0
"46","PH051716000",13.451,123.43,19.4177927536041,13.0320756735598,51.8466507261676,360,0,0,2.84823924940145,1.91156996604124,360,0,0,0,0,0,0,0
"47","PH051717000",13.822,123.51,16.241134479791,10.9000902548933,93.193944044394,360,0,0,2.70718966899216,1.81690581811555,360,0,0,0,0,0,0,0
"48","PH051718000",13.665,122.97,19.4758010803826,13.0710074364984,49.5252352836788,540,0,0,2.94596011547967,1.97715443991924,540,0,0,0,0,0,0,0
"49","PH051719000",13.853,122.89,18.1718647889397,12.1958824086844,66.1786476212281,360,0,0,2.92006829184699,1.95977737707851,360,0,0,0,0,0,0,0
"50","PH051720000",13.672,123.16,18.4544824419257,12.3855586858562,62.5675446246905,360,0,0,2.87888584840937,1.93213815329488,360,0,0,0,0,0,0,0
"51","PH051721000",13.595,123.19,18.7033013089789,12.5525512140798,59.3834476983469,360,0,0,2.88975778616692,1.93943475581673,360,0,0,0,0,0,0,0
