"","gridid","glat","glon","vmax_gust","vmax_sust","dist_track","gust_dur","sust_dur","dist_track_dur","vavg_gust","vavg_sust","gust_15","sust_15","gust_20","sust_20","gust_30","sust_30","gust_50","sust_50"
"1","PH050501000",13.286,123.84,15.1768224460966,10.1857868765749,275.163330269075,180,0,0,3.42495821514093,2.29862967459123,180,0,0,0,0,0,0,0
"2","PH050502000",13.14,123.63,13.8270259560654,9.27988319199021,297.397466607201,0,0,0,3.21839919213281,2.15999945780726,0,0,0,0,0,0,0,0
"3","PH050503000",13.115,123.68,13.7720877507545,9.24301191325803,298.348723762371,0,0,0,3.20496327849006,2.15098206610071,0,0,0,0,0,0,0,0
"4","PH050504000",13.173,123.57,13.9022112481217,9.33034311954477,296.101861137551,0,0,0,3.23766186650972,2.17292742718773,0,0,0,0,0,0,0,0
"5","PH050505000",13.049,123.58,13.1868401927972,8.85022831731358,308.738648435368,0,0,0,3.11436821710912,2.09018001148263,0,0,0,0,0,0,0,0
"6","PH050506000",13.099,123.75,13.8008746523744,9.26233198145932,297.848847745022,0,0,0,3.20548779645055,2.15133409157755,0,0,0,0,0,0,0,0
"7","PH050507000",13.249,123.37,14.0354831240694,9.41978733159019,296.539536753848,0,0,0,3.26604439533505,2.19197610425171,0,0,0,0,0,0,0,0
"8","PH050508000",13.184,123.49,13.7885883137456,9.2540861166078,298.06440963295,0,0,0,3.22920656343872,2.16725272714008,0,0,0,0,0,0,0,0
"9","PH050509000",13.304,123.73,15.081943562599,10.1221097735564,276.658948385696,180,0,0,3.41625722109036,2.2927900812687,180,0,0,0,0,0,0,0
"10","PH050510000",13.383,123.65,15.4334949708654,10.3580503160171,271.169772893363,360,0,0,3.48131477601308,2.33645286980744,360,0,0,0,0,0,0,0
"11","PH050511000",13.086,123.87,13.9138406440653,9.3381480832653,295.899111256747,0,0,0,3.220800864652,2.16161131855839,0,0,0,0,0,0,0,0
"12","PH050512000",13.167,123.4,13.549944360208,9.09392238940137,303.557733294532,0,0,0,3.18959393254561,2.14066706882255,0,0,0,0,0,0,0,0
"13","PH050513000",13.063,123.46,13.0202016216471,8.73839035009873,311.78501737714,0,0,0,3.09985563589729,2.08044002409214,0,0,0,0,0,0,0,0
"14","PH050514000",13.324,123.49,14.7272438397501,9.88405626828867,283.653275251526,0,0,0,3.37559302286807,2.26549867306582,0,0,0,0,0,0,0,0
"15","PH050515000",13.234,124.06,15.1561167255055,10.1718904198024,273.882886093593,360,0,0,3.4235517517543,2.29768573943241,360,0,0,0,0,0,0,0
"16","PH050516000",13.244,123.75,14.7244116485849,9.8821554688489,282.379717055231,0,0,0,3.35698066287047,2.25300715628891,0,0,0,0,0,0,0,0
"17","PH050517000",13.333,123.69,15.1895817127845,10.1943501428084,274.964451032382,360,0,0,3.43731300994451,2.30692148318423,360,0,0,0,0,0,0,0
"18","PH050518000",13.462,123.61,15.8977942188871,10.6696605495887,264.503840185791,720,0,0,3.55779198376113,2.38777985487324,720,0,0,0,0,0,0,0
"19","PH051601000",13.99,122.97,18.8946440474105,12.6809691593359,234.952583427008,900,0,0,3.97621331384439,2.66859953949288,900,0,0,0,0,0,0,0
"20","PH051602000",14.268,122.49,20.5807374499855,13.8125754697889,218.27876604749,1080,0,0,4.15181300207595,2.7864516792456,1080,0,180,0,0,0,0,0
"21","PH051603000",14.106,122.94,19.9103888075406,13.3626770520407,223.454094774881,1080,0,0,4.1056042284039,2.7554390794657,1080,0,0,0,0,0,0,0
"22","PH051605000",14.263,122.65,20.8536944061824,13.9957680578405,215.418985606141,1080,0,0,4.1994353271838,2.81841297126429,1080,0,360,0,0,0,0,0
"23","PH051606000",14.136,122.69,19.6084869843976,13.1600583787903,228.783336286979,1080,0,0,4.05951495031209,2.7245066780618,1080,0,0,0,0,0,0,0
"24","PH051607000",13.974,123.04,18.9081181346489,12.6900121709053,234.794547331602,1080,0,0,3.97959093584827,2.67086639989817,1080,0,0,0,0,0,0,0
"25","PH051608000",14.254,122.77,20.9190682445176,14.0396431171259,214.236064048743,1080,0,0,4.22908402298126,2.83831142481964,1080,0,360,0,0,0,0,0
"26","PH051604000",14.015,122.87,18.857125748472,12.6557890929342,235.391614489623,900,0,0,3.97375983343215,2.66695290834372,900,0,0,0,0,0,0,0
"27","PH051609000",14.081,122.86,19.4344991617128,13.0432880279951,228.764390478916,900,0,0,4.04916936627343,2.71756333306941,900,0,0,0,0,0,0,0
"28","PH051610000",14.151,122.38,19.155147143707,12.8558034521523,233.880999349854,900,0,0,3.97710406186598,2.66919735695703,900,0,0,0,0,0,0,0
"29","PH051611000",14.141,122.92,20.1912225312661,13.5511560612524,220.384167407484,1260,0,0,4.14146257377191,2.7795050830684,1260,0,180,0,0,0,0,0
"30","PH051612000",14.253,122.9,21.2444044472033,14.2579895618814,209.261084811421,1260,0,0,4.2723291345737,2.86733498964678,1260,0,540,0,0,0,0,0
"31","PH051701000",13.482,123.36,15.6341438806235,10.4927140138413,273.665850250262,540,0,0,3.51147217095532,2.35669273218478,540,0,0,0,0,0,0,0
"32","PH051702000",13.348,123.25,14.4770980659668,9.71617319863544,291.407395913492,0,0,0,3.33814337922894,2.24036468404627,0,0,0,0,0,0,0,0
"33","PH051703000",13.32,123.31,14.4043271257369,9.66733364143413,292.20685499034,0,0,0,3.32449140319463,2.23120228402324,0,0,0,0,0,0,0,0
"34","PH051704000",13.684,123.2,16.7644082976744,11.2512807366942,257.742708946872,720,0,0,3.69125679414709,2.47735355311885,720,0,0,0,0,0,0,0
"35","PH051705000",13.43,123.51,15.5164366337089,10.4137158615496,271.95633144436,360,0,0,3.49536259529746,2.34588093644125,360,0,0,0,0,0,0,0
"36","PH051706000",13.456,123.26,15.2397118403565,10.2279945237292,279.607518071694,180,0,0,3.45579605559339,2.31932621180764,180,0,0,0,0,0,0,0
"37","PH051707000",13.741,123.07,16.9090385870273,11.3483480449847,257.217386375238,720,0,0,3.71760502829764,2.49503693174338,720,0,0,0,0,0,0,0
"38","PH051708000",13.71,123.27,17.1575769544678,11.5151523184348,252.437344418713,720,0,0,3.74151401398406,2.51108323086179,720,0,0,0,0,0,0,0
"39","PH051709000",13.624,123.15,16.1770424063553,10.8570754405069,265.91324562117,720,0,0,3.6092973018064,2.4223471824204,720,0,0,0,0,0,0,0
"40","PH051710000",13.644,123.13,16.2674953029551,10.9177820825202,264.635490309777,720,0,0,3.62585781874675,2.43346162331996,720,0,0,0,0,0,0,0
"41","PH051711000",13.798,123.83,19.0627784828413,12.7938110623096,221.100763195772,1080,0,0,4.01319832495695,2.69342169460198,1080,0,0,0,0,0,0,0
"42","PH051712000",13.949,122.68,17.825228821325,11.9632408196812,249.325820416746,900,0,0,3.836934126828,2.57512357505235,900,0,0,0,0,0,0,0
"43","PH051713000",13.602,123.13,15.9620031956112,10.7127538225578,268.981607295212,720,0,0,3.57914751457655,2.4021124258903,720,0,0,0,0,0,0,0
"44","PH051714000",13.866,123.63,19.3238245240424,12.9690097476795,222.400977853978,1080,0,0,4.03534265813345,2.70828366317681,1080,0,0,0,0,0,0,0
"45","PH051715000",13.73,123.43,17.7161157732284,11.8900105860594,245.113322960322,900,0,0,3.81214245626782,2.55848486997841,900,0,0,0,0,0,0,0
"46","PH051716000",13.451,123.43,15.5387267103051,10.4286756445001,273.412500622021,360,0,0,3.49668792783311,2.3467704213645,360,0,0,0,0,0,0,0
"47","PH051717000",13.822,123.51,18.6835933393506,12.5393243888259,232.598000122717,900,0,0,3.94510659514778,2.64772254707904,900,0,0,0,0,0,0,0
"48","PH051718000",13.665,122.97,16.1186685009681,10.8178983227974,269.424975670197,540,0,0,3.60295110450545,2.41808798960097,540,0,0,0,0,0,0,0
"49","PH051719000",13.853,122.89,17.4888622456505,11.7374914400339,251.984067440156,900,0,0,3.79116427066528,2.54440555078207,900,0,0,0,0,0,0,0
"50","PH051720000",13.672,123.16,16.5607275048786,11.1145822180393,260.542189941805,720,0,0,3.66599616469342,2.4604001105325,720,0,0,0,0,0,0,0
"51","PH051721000",13.595,123.19,16.0719412799515,10.7865377717795,267.407061029495,540,0,0,3.58846806910645,2.40836783161506,540,0,0,0,0,0,0,0
"52","PH051722000",13.515,123.19,15.4954732663953,10.3996464875136,275.786809125031,360,0,0,3.50046864126864,2.34930781293197,360,0,0,0,0,0,0,0
