"","gridid","glat","glon","vmax_gust","vmax_sust","dist_track","gust_dur","sust_dur","dist_track_dur","vavg_gust","vavg_sust","gust_15","sust_15","gust_20","sust_20","gust_30","sust_30","gust_50","sust_50"
"1","PH050501000",13.286,123.84,19.8011573229431,13.2893673308343,222.715475210421,900,0,0,2.72806752840773,1.83091780430049,900,0,0,0,0,0,0,0
"2","PH050502000",13.14,123.63,17.5952484834275,11.8088915996158,247.841416356843,720,0,0,2.53480354696524,1.70121043420486,720,0,0,0,0,0,0,0
"3","PH050503000",13.115,123.68,17.6126019262198,11.8205382055166,247.630775409631,720,0,0,2.53097034229455,1.69863781362051,720,0,0,0,0,0,0,0
"4","PH050504000",13.173,123.57,17.5818202714006,11.799879376779,247.65026573633,720,0,0,2.54173102200487,1.705859746312,720,0,0,0,0,0,0,0
"5","PH050505000",13.049,123.58,16.6739078931271,11.1905422101524,259.326097106911,540,0,0,2.44582107722895,1.64149065585835,540,0,0,0,0,0,0,0
"6","PH050506000",13.099,123.75,17.7732450059409,11.9283523529805,245.694061957533,720,0,0,2.54091068271808,1.70530918303227,720,0,0,0,0,0,0,0
"7","PH050507000",13.249,123.37,17.6160416090398,11.8228467174764,246.181564168652,720,0,0,2.53653433381572,1.70237203611793,720,0,0,0,0,0,0,0
"8","PH050508000",13.184,123.49,17.385580120293,11.6681745773779,248.867561157038,720,0,0,2.52408507396331,1.6940168281633,720,0,0,0,0,0,0,0
"9","PH050509000",13.304,123.73,19.4407990177286,13.047516119281,226.613336720772,900,0,0,2.70526720030459,1.81561557067422,900,0,0,0,0,0,0,0
"10","PH050510000",13.383,123.65,19.756387246373,13.2593202995792,222.836464394183,900,0,0,2.74496591612663,1.84225900411183,900,0,0,0,0,0,0,0
"11","PH050511000",13.086,123.87,18.1310919270074,12.168518071817,241.444992049884,900,0,0,2.56958860280918,1.7245561092679,900,0,0,0,0,0,0,0
"12","PH050512000",13.167,123.4,16.9806449003021,11.3964059733571,253.68237555641,720,0,0,2.48085188433504,1.66500126465439,720,0,0,0,0,0,0,0
"13","PH050513000",13.063,123.46,16.2596842224446,10.9125397466071,262.700663188952,720,0,0,2.41847587481942,1.62313817101975,720,0,0,0,0,0,0,0
"14","PH050514000",13.324,123.49,18.7000032946607,12.5503377816515,234.009706016644,720,0,0,2.63890243649982,1.77107546073813,720,0,0,0,0,0,0,0
"15","PH050515000",13.234,124.06,20.2096284768028,13.5635090448341,218.386341095488,900,0,0,2.75910434605784,1.8517478832603,900,0,180,0,0,0,0,0
"16","PH050516000",13.244,123.75,19.0084571081034,12.7573537638278,231.390471153163,900,0,0,2.66120945612482,1.78604661484887,900,0,0,0,0,0,0,0
"17","PH050517000",13.333,123.69,19.494442331131,13.0835183430409,226.028697663245,900,0,0,2.71610832325001,1.8228914921141,900,0,0,0,0,0,0,0
"18","PH050518000",13.462,123.61,20.4845387398897,13.7480125771072,215.496824159626,1080,0,0,2.79918784876233,1.87864956292774,1080,0,360,0,0,0,0,0
"19","PH051601000",13.99,122.97,24.2839957571603,16.2979837296378,180.777583098464,1080,360,0,3.02653376946575,2.03123071776225,1080,360,540,0,0,0,0,0
"20","PH051602000",14.268,122.49,25.438651776495,17.0729206553658,173.200541177543,1080,360,0,3.08229374350505,2.06865351913091,1080,360,720,0,0,0,0,0
"21","PH051603000",14.106,122.94,25.7204834214852,17.2620694103928,169.76868514489,1080,540,0,3.12079761323697,2.09449504244092,1080,540,540,0,0,0,0,0
"22","PH051605000",14.263,122.65,25.8709029940463,17.3630221436552,168.657851175476,1080,360,0,3.14477487553708,2.11058716478999,1080,360,720,0,0,0,0,0
"23","PH051606000",14.136,122.69,24.5818112608441,16.4978599066068,178.436799040973,1080,360,0,3.04554515181979,2.04399003477838,1080,360,720,0,0,0,0,0
"24","PH051607000",13.974,123.04,24.3603600065568,16.3492349037294,180.173770179163,1080,360,0,3.03997616524938,2.04025245989891,1080,360,540,0,0,0,0,0
"25","PH051608000",14.254,122.77,26.6873853905245,17.9109969063923,162.750010220332,1080,540,0,3.18721828234839,2.13907267271704,1080,540,720,0,0,0,0,0
"26","PH051604000",14.015,122.87,24.1318086864506,16.1958447560071,181.987149224947,1080,360,0,3.00911219812138,2.01953838800093,1080,360,540,0,0,0,0,0
