,year,actual,predicted
1,2016,1.0,0.3882988868088975
10,2016,0.4879391784311644,0.3946292788361484
19,2016,1.0,0.5579197025644429
24,2016,1.0,0.43522063223493546
37,2016,0.6675245295158436,0.42313405429182266
44,2016,1.0,0.5841191086900495
50,2016,0.5913272010512483,0.5870459930115498
55,2016,0.7712693666757271,0.5212334938707819
61,2016,1.0,0.46282795185770104
69,2016,1.0,0.5395117882482926
75,2016,0.3248287266713915,0.4685673681549295
81,2016,0.6933345868195919,0.5472606585009171
87,2016,0.7351928374655646,0.39605370219048697
93,2016,0.712430426716141,0.5193783564636453
99,2016,1.0,0.5248910577655297
108,2016,0.8704927057528214,0.4213644752623166
114,2016,1.0,0.5328046985514377
119,2016,1.0,0.6743328367838279
124,2016,1.0,0.392438251888877
131,2016,0.9460965114492085,0.6561193577213327
136,2016,1.0,0.673365763235213
144,2016,0.8184811237928007,0.38654325205556384
153,2016,0.2964746273656004,0.6018518597836516
160,2016,1.0,0.6670463126495954
166,2016,0.4222900989001515,0.44450972337114136
187,2016,0.415650406504065,0.6507455008987649
200,2016,1.0,0.26392227408983043
207,2016,0.3249672666466849,0.48132966515672193
231,2016,0.01855702489229296,0.49545840424524734
264,2016,0.2688172043010753,0.6604699088915349
273,2016,1.0,0.5091191746201179
305,2016,1.0,0.6538936073158955
312,2016,0.3473698648926685,0.4831136006606707
320,2016,0.8472320275841625,0.54774661078606
326,2016,1.0,0.6204192814225449
344,2016,0.2859462290502793,0.526561658367672
361,2016,0.4273504273504273,0.5193595397078621
372,2016,0.3697547575443905,0.2522337400882404
379,2016,0.6682109764789735,0.4523705564128352
388,2016,0.52484184228553,0.5762726471952266
395,2016,1.0,0.6611780459368533
399,2016,1.0,0.34771463801484204
405,2016,0.2028146531692631,0.30522573474085235
410,2016,0.8928571428571428,0.35518599720742494
415,2016,0.3350792454694815,0.32811091667797887
422,2016,0.3611325115562403,0.2912503505235044
429,2016,0.2006911940785893,0.43893773047361195
436,2016,0.5724538619275461,0.39904281054798546
444,2016,0.969245192837972,0.29742537342398223
451,2016,0.2653614813067579,0.2643715488355335
458,2016,0.4222386929918627,0.33559903299754573
463,2016,0.8150397646802483,0.4183403438864306
469,2016,0.1338369568450168,0.2744808549417462
475,2016,1.0,0.2965375552886546
480,2016,0.02577483107572249,0.2725241666942384
487,2016,0.6428386721401558,0.5153618584520047
493,2016,0.4931664247701983,0.4918776873163189
500,2016,0.73996244299383,0.5914206509407677
511,2016,0.3693341920940343,0.3607690471538054
530,2016,0.1205325017989926,0.4675880548630731
536,2016,0.7389253562235988,0.3703447796844321
540,2016,0.2151639344262295,0.32104014897510774
544,2016,0.9936124911284598,0.4783489682344026
550,2016,1.0,0.5354582918201173
554,2016,0.06236407829090444,0.3737599733274134
558,2016,0.4376964022317706,0.23859106088808044
564,2016,1.0,0.5016147325077237
570,2016,0.1588510806387901,0.4173363322657523
574,2016,0.904962485191523,0.5846224279212187
577,2016,1.0,0.5651924920047038
581,2016,0.9727733686067019,0.5461392946892297
587,2016,1.0,0.5401775360447639
591,2016,0.3723570461410269,0.3913760346500873
596,2016,0.1607663749668523,0.23134425783960302
599,2016,0.9254689042448173,0.6520858724652642
606,2016,0.436759297098488,0.45452488894808446
614,2016,0.3306025369978858,0.49250714707807974
618,2016,0.1363074271153414,0.44534776542001064
623,2016,0.5215896383088812,0.5189446258186746
627,2016,1.0,0.5434996607967223
633,2016,0.2665333019534008,0.2276853409317987
639,2016,0.5473809418917133,0.20717405715506657
645,2016,1.0,0.6498277647404685
652,2016,0.5097671410090556,0.48947791608448155
659,2016,0.5479217217006013,0.3520402478212287
764,2016,0.0,0.019091973352900256
770,2016,0.0,0.07698766970508591
780,2016,0.0,0.021566235338235908
789,2016,0.06605612395682339,0.21024855048366692
799,2016,0.0,0.0075828418058486915
807,2016,0.3545502620066343,0.20415870920836324
818,2016,0.2525424830230367,0.19327538493838908
829,2016,0.0,0.00962406993043356
836,2016,0.2550445724584044,0.09519233576386339
848,2016,0.0,0.1700368371033355
860,2016,0.0,0.1376674164343228
879,2016,0.0,0.09237922502393361
887,2016,0.0,0.02527223841977314
893,2016,0.0,0.12616473118042712
903,2016,0.0,0.005294119196989154
909,2016,0.0,0.122310010201646
918,2016,0.0,0.14270317420345785
922,2016,0.5994951619688683,0.5957072842952623
926,2016,0.1751436177665686,0.09292909359999162
937,2016,0.3827742775685474,0.03906173997379465
949,2016,0.0,0.1434656285116285
961,2016,0.0,0.2152039389061602
972,2016,0.0,0.07892544433011808
991,2016,0.0,0.17372042802261192
1002,2016,0.0,0.18466854264774354
1012,2016,0.0,0.19050497655076193
1021,2016,0.0498684322213734,0.07593895612824143
1031,2016,0.06034796866460193,0.18108108111001578
1051,2016,0.0589802577525294,0.2368807479907016
1061,2016,0.0,0.18283134233443937
1073,2016,0.0,0.10454117397842032
1081,2016,0.0,0.20789802774694655
1091,2016,0.0,0.18735938260615462
1101,2016,0.0003702574378185303,0.29352621067942364
1131,2016,0.0,0.15966156859912706
1139,2016,0.1131563065781533,0.18731174699053757
1149,2016,0.0,0.19272582348367678
1168,2016,0.0,0.011320734647565339
1176,2016,0.169442504147385,0.18993120337399044
1187,2016,0.0,0.26155576950314124
1199,2016,0.0,0.10558610458333367
1208,2016,0.001168610320843978,0.25205735292659864
1220,2016,0.0,0.2253350774494408
1235,2016,0.5622404194527084,0.4106448166521413
1240,2016,1.0,0.43168024887118506
1244,2016,1.0,0.44347648142679374
1250,2016,0.2536092444023407,0.40881982418166224
1255,2016,0.4780754925488838,0.4329626365264961
1261,2016,0.8762450486482328,0.43624103040276807
1265,2016,0.5655071054434547,0.34598043778380455
1270,2016,0.7789720123443652,0.4334708070910833
1275,2016,1.0,0.524800567786235
1279,2016,0.5229361068777127,0.5230370659197153
1284,2016,1.0,0.419420785276688
1289,2016,0.3040595926062544,0.5546663099664562
1294,2016,1.0,0.19181750330175315
1297,2016,0.8623252378206977,0.2908332750781422
1302,2016,0.1691316500798624,0.4804936871826738
1307,2016,0.3864951127069619,0.44201492823196836
1312,2016,1.0,0.5099586497810148
1316,2016,1.0,0.8398163171440323
1321,2016,1.0,0.3960694075827906
1326,2016,0.5940912010276173,0.40996290932704355
1330,2016,0.5556061054116148,0.4318802070581328
1335,2016,0.6745500784206002,0.47305083213226273
1341,2016,0.8851066468253967,0.3959083146602211
1347,2016,1.0,0.7618431512485013
1352,2016,0.8298750408777077,0.5643620878078093
1357,2016,0.602632077258095,0.5848382887907296
1360,2016,1.0,0.8257728685978896
1365,2016,0.08492639712249384,0.5805345887907118
1368,2016,0.2753303964757709,0.25670832247428294
1370,2016,0.4584713677236157,0.4963314428318481
1372,2016,0.2627101681345076,0.7766682426495843
1373,2016,0.08341675008341674,0.323133467597556
1375,2016,0.5271472427006073,0.3642155327528098
1376,2016,0.1625619767536373,0.4065739895085065
1378,2016,0.5782809836863891,0.5543626927696431
1379,2016,0.01311372219890894,0.411545788480641
1382,2016,0.08092281434835065,0.3579667045591681
1384,2016,0.1028322952168292,0.4551426208800604
1385,2016,0.4034698406294129,0.45380906384140746
1387,2016,0.06443298969072164,0.4363239537084702
1389,2016,0.0969227041434456,0.36545246457870234
1390,2016,0.5924170616113744,0.4191391633548993
1392,2016,0.00276166804750069,0.33779047536404616
1395,2016,0.06329754911889811,0.4368410779283461
1397,2016,1.0,0.696081720793716
1398,2016,0.09831460674157302,0.5505138428592956
1399,2016,1.0,0.7845516426858816
1406,2016,1.0,0.8057951528193148
1410,2016,0.0731754910888513,0.38665262203128065
1414,2016,0.07967997918563809,0.40516804133779694
1417,2016,0.7591287636130686,0.4062403128545624
1423,2016,0.05998080614203455,0.4887576851064036
1426,2016,1.0,0.48564715298885797
1427,2016,1.0,0.4245781361161293
1431,2016,0.6673930809043856,0.37124082017358584
1434,2016,0.6673930809043856,0.41393864193238045
1435,2016,1.0,0.459489733288883
1438,2016,1.0,0.5461698766472944
1439,2016,0.0630841309256893,0.35427763628801573
1442,2016,0.0140633412891664,0.40430581353808853
1443,2016,0.2405807694863446,0.4198905901550767
1446,2016,0.08306199747491527,0.4138253798456256
1447,2016,0.07931790616792103,0.4405631839876684
1450,2016,0.2610462734640439,0.40513738456197435
1453,2016,0.2501745403770072,0.47590000389967924
1456,2016,0.2568800125805945,0.45394092188793594
1459,2016,0.1804643377001456,0.5789263882092361
1462,2016,0.2919941775836972,0.43922870804619746
1463,2016,0.5351262991742427,0.46246340851735845
1466,2016,0.1192312916567135,0.437497052207992
1467,2016,1.0,0.504001005425866
1470,2016,0.1432263485556418,0.40943482181203117
1474,2016,0.1474117407412122,0.39147931815648557
1475,2016,0.6041941633670627,0.5966990609826088
1479,2016,0.4019467663880334,0.2971584796503065
1482,2016,0.06299401847566105,0.44011636500456774
1486,2016,0.468052501832234,0.38800514080599685
1489,2016,0.08744753148111133,0.5217253278554718
1490,2016,0.6599901384613334,0.5810081169881243
1492,2016,0.6959714281906741,0.42870308516116107
1493,2016,0.3718593388792332,0.5256441257577529
1496,2016,0.4391826579586622,0.5016339862676668
1497,2016,0.1452035818532628,0.4660409569706414
1500,2016,0.8417849898580122,0.49901189066352286
1501,2016,0.4508642983530693,0.47210378328526686
1504,2016,0.0933712891419276,0.4412704650031326
1506,2016,1.0,0.47980625796407744
1509,2016,0.4009681558380964,0.5918813888715586
1511,2016,0.4009681558380964,0.5632160880150693
1512,2016,0.5640083945435468,0.43879538067275264
1514,2016,0.2934638219426898,0.3748093886291106
1516,2016,0.9110509850342438,0.4612453339911559
1517,2016,0.1185269471014235,0.4609400500134506
1519,2016,0.04158148237984684,0.43064849452235987
1520,2016,0.2655047995098372,0.4679803343320592
1522,2016,1.0,0.5788193752012644
1523,2016,1.0,0.5971429104992679
1525,2016,1.0,0.8821501973344091
1527,2016,0.7011866235167206,0.44466561579986497
1529,2016,0.4758136123228969,0.3810920787873486
1539,2016,1.0,0.2176212167488622
1551,2016,1.0,0.1770090913855371
1561,2016,0.7049891540130152,0.15868659945468128
1571,2016,1.0,0.513816419200507
1579,2016,0.6991299715909091,0.442202281101104
1589,2016,0.2896355671544412,0.271746610105263
1599,2016,0.9689847189847189,0.20221755094836882
1609,2016,0.2482869514040693,0.05899004762442406
1621,2016,0.3360364363474783,0.042115776091501474
1632,2016,1.0,0.07329610555863128
1642,2016,0.651344841429145,0.049012181140420434
1652,2016,0.1312210717182803,0.05341069755528562
1662,2016,0.1561852823415712,0.034079192190784924
1673,2016,0.04407227853680035,0.04091487024422471
1682,2016,0.1812171419467899,0.026810640881765213
1690,2016,0.009210138520483347,0.017235134204262693
1701,2016,0.0,0.08176532761976738
1709,2016,0.0,0.07448923859025838
1720,2016,0.2671434581405132,0.021675803810371517
1730,2016,0.2494946942900454,0.08800884712366194
1745,2016,0.150764591858712,0.10724504195915624
1760,2016,0.5414421619801313,0.16573377528010927
1772,2016,0.6073667711598746,0.10468315940559783
1785,2016,0.1973164956590371,0.2470788890880492
1799,2016,0.1707726073339745,0.08081729623790128
1813,2016,0.3749353559731081,0.10470366998808205
1828,2016,0.1057024491287925,0.07285807653691528
1841,2016,0.0460075656885799,0.10814497728866326
1854,2016,0.0799091629579955,0.10391835542026862
1867,2016,0.02491280518186348,0.0608989005284177
1880,2016,0.1839473224752451,0.12588207235523405
1893,2016,0.1644259380216271,0.13217195828675551
1906,2016,0.03386272053096746,0.10359286465423118
1918,2016,0.1671237572848817,0.1690791401920861
1931,2016,0.05038387715930902,0.027685651260413235
1943,2016,0.2806848836047557,0.16313000171503889
1958,2016,0.1657660928623297,0.22242412799247382
1973,2016,0.07396872880039886,0.14681882886871225
1986,2016,0.1659711684370258,0.07688074371698486
1998,2016,0.0,0.030369856349380338
2009,2016,0.4979321753515302,0.11661557744390036
2022,2016,0.2863871163780006,0.026945906521893055
2035,2016,0.4754661942490075,0.21336437619826432
2045,2016,0.4436183070453316,0.1637180771118622
2055,2016,0.07513547934346125,0.2488149427136938
2064,2016,0.1138330088687,0.17589582818068714
2072,2016,0.4618502285687356,0.14093037349343998
2084,2016,0.1125748428610469,0.21691906444668668
2093,2016,0.05241161694957563,0.22677476369615912
2102,2016,0.06448107659516034,0.31565904641244713
2111,2016,0.2793641728536075,0.2121901744415263
2122,2016,0.5741572146765274,0.18320003010072153
2130,2016,1.0,0.2700731217064015
2139,2016,0.1517752137567147,0.23079660806176158
2148,2016,0.3727128981251412,0.20840128223715465
2158,2016,0.3861261389521639,0.2628313039936331
2167,2016,0.4651516174782198,0.33144582967853414
2176,2016,0.2978438211639907,0.2725118205195442
2186,2016,0.6278855392980182,0.26800280428188655
2195,2016,1.0,0.26495962474401225
2206,2016,1.0,0.24755357636943187
2218,2016,0.8176831313179704,0.21339306539124056
2229,2016,0.2163888015099088,0.21150724880020091
2237,2016,0.8526820856387226,0.24636159822291667
2249,2016,0.5722507439259671,0.21943524869172515
2259,2016,0.7204063299011816,0.2840773798826262
2267,2016,0.2686221669430625,0.2498434671016128
2278,2016,0.3553421461897356,0.1937788763486811
2289,2016,0.4149585526400869,0.13676341563427158
2300,2016,0.2297677441631376,0.22964773136398262
2311,2016,0.2200147688074694,0.3195960175949741
2323,2016,0.8584082138330748,0.21079679960947637
2335,2016,0.2763576842010853,0.18427003177930815
2346,2016,0.4453883701549399,0.20632238342986542
2357,2016,0.0,3.2624757496364247e-06
2364,2016,0.1478630321386505,0.09250559620943793
2374,2016,0.2761141746519616,0.10796482062424655
2386,2016,0.3604645835242372,0.05234427695284525
2398,2016,0.5677200902934537,0.05765067007486862
2411,2016,0.1157362380859755,0.06051376053767999
2423,2016,0.1298182387966155,0.05889080639293621
2433,2016,0.9357018423692128,0.10905723801919784
2446,2016,0.0,0.1385757079998187
2457,2016,0.0,0.3050256342978402
2469,2016,0.0,0.10298515494075706
2482,2016,0.0,0.08196948154531372
2503,2016,0.1921912832929782,0.06987535330988898
2516,2016,0.0,8.88730892285816e-06
2526,2016,0.0,0.0
2536,2016,0.0,0.07229629593425817
2550,2016,0.07374538699068611,0.05757245219330031
2564,2016,0.0,4.3869005370968e-05
2571,2016,0.3912570222280862,0.18231666564781132
2584,2016,0.1709362749566961,0.1302629849683422
2593,2016,0.0430003871173421,0.15669955205048158
2603,2016,0.0987109317779287,0.07714668178729064
2613,2016,0.623015392073688,0.10017443598815363
2623,2016,1.0,0.13548013379642032
2631,2016,0.3001859527594822,0.1860176851376147
2640,2016,0.143440931230909,0.1016653233734852
2650,2016,0.3661682406435817,0.13215194298459065
2659,2016,0.2801980391010273,0.14650845566779672
2669,2016,0.0852001858840308,0.10800327308750023
2678,2016,0.2373016439995357,0.13469691920398794
2688,2016,0.4569990396396993,0.06132086245477461
2698,2016,0.07112485744037288,0.11357196357010482
2708,2016,0.1172480140343928,0.15850687351610848
2716,2016,0.1129473308762335,0.07966612873695153
2725,2016,0.05246476919662672,0.10294464026089614
